panel,scenario,tier,year,entity,origin_region,destination_region,region,role,metric,value,x_value,y_value,minimum,maximum,unit,source_type,style
a,S5,mid,2025,,NE,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NE,NC,,,attributed_interregional_flow,1.8879,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NE,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NE,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NE,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NE,NE,,,attributed_interregional_flow,1.9284850357188423,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,,,NW,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
b,S5,mid,2060,,,,SW,,regional_demand_met_pct,76.02857701813099,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
b,S5,mid,2060,,,,NC,,regional_demand_met_pct,55.95631660107751,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
b,S5,mid,2060,,,,CC,,regional_demand_met_pct,96.8155547517498,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
b,S5,mid,2060,,,,SC,,regional_demand_met_pct,11.2911431054542,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
b,S5,mid,2060,,,,EC,,regional_demand_met_pct,20.46084663964864,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
b,S5,mid,2060,,,,NE,,regional_demand_met_pct,84.97994765955467,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
b,S5,mid,2060,,,,,,national_demand_met_pct,43.31895156475055,,,,,%,derived_from_frozen_all_scenario_regional_account,map_title_stat
b,S5,mid,2060,,NW,NW,,,attributed_interregional_flow,241.7810255146611,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NW,SW,,,attributed_interregional_flow,176.2956,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NW,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NW,CC,,,attributed_interregional_flow,614.4936,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NW,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NW,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NW,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SW,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SW,SW,,,attributed_interregional_flow,331.9367920140288,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SW,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SW,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SW,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SW,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SW,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NC,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NC,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NC,NC,,,attributed_interregional_flow,512.4327935787355,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NC,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NC,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NC,EC,,,attributed_interregional_flow,217.9462,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NC,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,CC,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,CC,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,CC,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,CC,CC,,,attributed_interregional_flow,320.9580177633168,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,CC,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,CC,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,CC,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SC,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SC,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SC,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SC,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SC,SC,,,attributed_interregional_flow,154.70985671441073,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SC,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,SC,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,EC,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,EC,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,EC,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,EC,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,EC,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,EC,EC,,,attributed_interregional_flow,364.23600370767,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,EC,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
b,S5,mid,2060,,NE,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
