panel,scenario,year,k,candidate_ids,links,candidate_id,link,region,construction_cost_10k_cny_per_km,capacity_10kt_y_per_link,metric,value,x_value,unit,source_type,style,marker,capacity_relaxation_gain_mt_y,connector_gain_mt_y,capacity_reaches_connector
a,S1,2055,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2060,,,,,,SW,,,baseline_demand_satisfaction_pct,nan,nan,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2025,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2030,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2035,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2040,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2045,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2050,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2055,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,NE,,,connector_gain_2060_pp,0.0,100.0,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S2,2025,,,,,,EC,,,baseline_demand_satisfaction_pct,79.07180037105483,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2030,,,,,,EC,,,baseline_demand_satisfaction_pct,66.03343082669849,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2035,,,,,,EC,,,baseline_demand_satisfaction_pct,63.73199549418927,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2040,,,,,,EC,,,baseline_demand_satisfaction_pct,61.50051021133497,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2045,,,,,,EC,,,baseline_demand_satisfaction_pct,59.587803767835645,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2050,,,,,,EC,,,baseline_demand_satisfaction_pct,57.73023801231462,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2055,,,,,,EC,,,baseline_demand_satisfaction_pct,56.36668187228722,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,EC,,,baseline_demand_satisfaction_pct,55.08178598850462,64.60769542151118,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,EC,,,connector_gain_2060_pp,9.52590943300656,64.60769542151118,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S2,2025,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2030,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2035,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2040,,,,,,CC,,,baseline_demand_satisfaction_pct,100.0,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2045,,,,,,CC,,,baseline_demand_satisfaction_pct,99.99996770648106,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2050,,,,,,CC,,,baseline_demand_satisfaction_pct,99.9999606781115,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2055,,,,,,CC,,,baseline_demand_satisfaction_pct,99.99997358732844,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
a,S2,2060,,,,,,CC,,,baseline_demand_satisfaction_pct,99.99996875558298,99.99996875558298,%,regional_trajectories_audit,radial_year_bar,,,,
