panel,scenario,year,case,metric,value,unit,denominator,source_type,style,x,y,note
b,S1,2060,provincial_mid_2060_account,spatial_network_gap_pct,49.33101887551876,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S1,49.33101887551876,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S2,2060,provincial_mid_2060_account,served_pct,68.8637461319405,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S2,68.8637461319405,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S2,2060,provincial_mid_2060_account,quantity_shortage_pct,0.0,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S2,0.0,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S2,2060,provincial_mid_2060_account,spatial_network_gap_pct,31.136253868059498,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S2,31.136253868059498,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S3,2060,provincial_mid_2060_account,served_pct,77.10827303385803,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S3,77.10827303385803,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S3,2060,provincial_mid_2060_account,quantity_shortage_pct,0.0,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S3,0.0,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S3,2060,provincial_mid_2060_account,spatial_network_gap_pct,22.891726966141974,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S3,22.891726966141974,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S4,2060,provincial_mid_2060_account,served_pct,78.45074526643631,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S4,78.45074526643631,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S4,2060,provincial_mid_2060_account,quantity_shortage_pct,0.0,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S4,0.0,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S4,2060,provincial_mid_2060_account,spatial_network_gap_pct,21.549254733563686,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S4,21.549254733563686,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S5,2060,provincial_mid_2060_account,served_pct,43.31895156475056,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S5,43.31895156475056,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S5,2060,provincial_mid_2060_account,quantity_shortage_pct,12.612401282351804,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S5,12.612401282351804,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S5,2060,provincial_mid_2060_account,spatial_network_gap_pct,44.06864715289763,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S5,44.06864715289763,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S6,2060,provincial_mid_2060_account,served_pct,46.10928617637456,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S6,46.10928617637456,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S6,2060,provincial_mid_2060_account,quantity_shortage_pct,12.612401282351804,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S6,12.612401282351804,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S6,2060,provincial_mid_2060_account,spatial_network_gap_pct,41.278312541273635,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S6,41.278312541273635,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S7,2060,provincial_mid_2060_account,served_pct,42.84033611989062,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S7,42.84033611989062,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S7,2060,provincial_mid_2060_account,quantity_shortage_pct,12.612401282351804,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S7,12.612401282351804,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S7,2060,provincial_mid_2060_account,spatial_network_gap_pct,44.54726259775757,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S7,44.54726259775757,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S8,2060,provincial_mid_2060_account,served_pct,44.62708017238907,%,total provincial demand,derived_from_frozen_dynamic_gap_account,served,S8,44.62708017238907,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S8,2060,provincial_mid_2060_account,quantity_shortage_pct,12.612401282351804,%,total provincial demand,derived_from_frozen_dynamic_gap_account,quantity_shortage,S8,12.612401282351804,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
b,S8,2060,provincial_mid_2060_account,spatial_network_gap_pct,42.760518545259124,%,total provincial demand,derived_from_frozen_dynamic_gap_account,spatial_network_gap,S8,42.760518545259124,S1-S4 use frozen minimum quantity shortage; S5-S8 use frozen maximum
c,S1,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,46.937398613487446,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S1,46.937398613487446,shares of spatial-network gap; not total-demand shares
c,S1,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,-5.819623851048341e-15,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S1,-5.819623851048341e-15,shares of spatial-network gap; not total-demand shares
c,S1,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,53.06260138651256,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S1,53.06260138651256,shares of spatial-network gap; not total-demand shares
c,S2,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,9.20742890152529,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S2,9.20742890152529,shares of spatial-network gap; not total-demand shares
c,S2,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,0.1362007538854609,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S2,0.1362007538854609,shares of spatial-network gap; not total-demand shares
c,S2,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,90.65637034458925,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S2,90.65637034458925,shares of spatial-network gap; not total-demand shares
c,S3,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,46.98004316486503,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S3,46.98004316486503,shares of spatial-network gap; not total-demand shares
c,S3,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,0.0,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S3,0.0,shares of spatial-network gap; not total-demand shares
c,S3,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,53.01995683513497,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S3,53.01995683513497,shares of spatial-network gap; not total-demand shares
c,S4,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,31.26933904268335,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S4,31.26933904268335,shares of spatial-network gap; not total-demand shares
c,S4,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,-2.09352133289503e-14,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S4,-2.09352133289503e-14,shares of spatial-network gap; not total-demand shares
c,S4,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,68.73066095731666,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S4,68.73066095731666,shares of spatial-network gap; not total-demand shares
c,S5,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,20.305650605053767,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S5,20.305650605053767,shares of spatial-network gap; not total-demand shares
c,S5,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,5.210561898948703,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S5,5.210561898948703,shares of spatial-network gap; not total-demand shares
c,S5,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,74.48378749599753,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S5,74.48378749599753,shares of spatial-network gap; not total-demand shares
c,S6,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,16.81939077018518,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S6,16.81939077018518,shares of spatial-network gap; not total-demand shares
c,S6,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,4.101225189453697,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S6,4.101225189453697,shares of spatial-network gap; not total-demand shares
c,S6,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,79.07938404036112,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S6,79.07938404036112,shares of spatial-network gap; not total-demand shares
c,S7,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,25.4140806442037,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S7,25.4140806442037,shares of spatial-network gap; not total-demand shares
c,S7,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,1.333102541041584,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S7,1.333102541041584,shares of spatial-network gap; not total-demand shares
c,S7,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,73.25281681475472,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S7,73.25281681475472,shares of spatial-network gap; not total-demand shares
c,S8,2060,provincial_spatial_network_gap_decomposition,direction_contribution_pct,22.66772614349868,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,direction,S8,22.66772614349868,shares of spatial-network gap; not total-demand shares
c,S8,2060,provincial_spatial_network_gap_decomposition,capacity_contribution_pct,1.2535959716289726,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,capacity,S8,1.2535959716289726,shares of spatial-network gap; not total-demand shares
c,S8,2060,provincial_spatial_network_gap_decomposition,topology_access_residual_pct,76.07867788487235,%,provincial spatial-network gap,frozen_dynamic_v08_gap_decomposition,topology_access,S8,76.07867788487235,shares of spatial-network gap; not total-demand shares
d,S5,2060,counterfactual_relaxation,capacity_relaxation_gain_10kt,0.0,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,capacity,S5,0.0,counterfactual; no model recomputation
d,S6,2060,counterfactual_relaxation,capacity_relaxation_gain_10kt,28.473399999999856,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,capacity,S6,28.473399999999856,counterfactual; no model recomputation
d,S7,2060,counterfactual_relaxation,capacity_relaxation_gain_10kt,0.0,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,capacity,S7,0.0,counterfactual; no model recomputation
d,S8,2060,counterfactual_relaxation,capacity_relaxation_gain_10kt,0.0,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,capacity,S8,0.0,counterfactual; no model recomputation
d,S5,2060,counterfactual_relaxation,direction_relaxation_gain_10kt,482.2845999999991,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,direction,S5,482.2845999999991,counterfactual; no model recomputation
d,S6,2060,counterfactual_relaxation,direction_relaxation_gain_10kt,409.0871000000002,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,direction,S6,409.0871000000002,counterfactual; no model recomputation
d,S7,2060,counterfactual_relaxation,direction_relaxation_gain_10kt,777.7376999999997,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,direction,S7,777.7376999999997,counterfactual; no model recomputation
d,S8,2060,counterfactual_relaxation,direction_relaxation_gain_10kt,663.8674999999998,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,direction,S8,663.8674999999998,counterfactual; no model recomputation
d,S5,2060,counterfactual_relaxation,joint_relaxation_gain_10kt,815.2370999999989,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,both,S5,815.2370999999989,counterfactual; no model recomputation
d,S6,2060,counterfactual_relaxation,joint_relaxation_gain_10kt,626.0866000000001,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,both,S6,626.0866000000001,counterfactual; no model recomputation
d,S7,2060,counterfactual_relaxation,joint_relaxation_gain_10kt,863.8474999999999,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,both,S7,863.8474999999999,counterfactual; no model recomputation
d,S8,2060,counterfactual_relaxation,joint_relaxation_gain_10kt,741.5938999999998,10 kt/y,model-called provincial service gain,frozen_robustness_counterfactual,both,S8,741.5938999999998,counterfactual; no model recomputation
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"87.61399479,93.51362048","43.82418589,42.81802454",N009->N034; design throughput=1000 10 kt/y
e,S5,2060,existing_network_design_throughput,design_throughput_10kt_y,1000.0,10 kt/y,existing directed segment design value,frozen_existing_pipeline_geometry,network_throughput,S001,1000.0,frozen design-throughput field
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"93.51362048,98.49115772","42.81802454,39.73039911",N034->N068; design throughput=1000 10 kt/y
e,S5,2060,existing_network_design_throughput,design_throughput_10kt_y,1000.0,10 kt/y,existing directed segment design value,frozen_existing_pipeline_geometry,network_throughput,S002,1000.0,frozen design-throughput field
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"98.49115772,98.49115772","39.73039911,39.73039911",N068->N136; design throughput=1000 10 kt/y
e,S5,2060,existing_network_design_throughput,design_throughput_10kt_y,1000.0,10 kt/y,existing directed segment design value,frozen_existing_pipeline_geometry,network_throughput,S003,1000.0,frozen design-throughput field
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"98.49115772,100.4482023","39.73039911,38.92467819",N136->N052; design throughput=1000 10 kt/y
e,S5,2060,existing_network_design_throughput,design_throughput_10kt_y,1000.0,10 kt/y,existing directed segment design value,frozen_existing_pipeline_geometry,network_throughput,S004,1000.0,frozen design-throughput field
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"100.4482023,102.63634","38.92467819,37.92858453",N052->N077; design throughput=1000 10 kt/y
e,S5,2060,existing_network_design_throughput,design_throughput_10kt_y,1000.0,10 kt/y,existing directed segment design value,frozen_existing_pipeline_geometry,network_throughput,S005,1000.0,frozen design-throughput field
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"102.63634,103.8314138","37.92858453,36.06163277",N077->N018; design throughput=1000 10 kt/y
e,S5,2060,existing_network_design_throughput,design_throughput_10kt_y,1000.0,10 kt/y,existing directed segment design value,frozen_existing_pipeline_geometry,network_throughput,S006,1000.0,frozen design-throughput field
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"84.88680126,87.3044857","45.57908248,44.00921537",N100->N001; design throughput=100 10 kt/y
e,S5,2060,existing_network_design_throughput,design_throughput_10kt_y,100.0,10 kt/y,existing directed segment design value,frozen_existing_pipeline_geometry,network_throughput,S007,100.0,frozen design-throughput field
e,S5,2060,complete_existing_network,network_segment,1,directed segment,140 directed physical segments,frozen_existing_pipeline_geometry,vector_network,"87.3044857,87.61399479","44.00921537,43.82418589",N001->N009; design throughput=100 10 kt/y
