scenario,tier,year,province_key,supply_10kt
low,low,2035,湖南,30.13354627895
low,low,2035,甘肃,143.3335955083
low,low,2035,福建,0
low,low,2035,西藏,27.65939344499
low,low,2035,贵州,22.20552362679
low,low,2035,辽宁,52.38898004468
low,low,2035,重庆,0
low,low,2035,陕西,60.34451588073
low,low,2035,青海,192.5217438335
low,low,2035,黑龙江,43.47786031097
low,low,2040,上海,0
low,low,2040,云南,111.0835412471
low,low,2040,内蒙古,512.8092763377
low,low,2040,北京,0.3127026010859
low,low,2040,吉林,64.65985707053
low,low,2040,四川,11.55160379668
low,low,2040,天津,6.661848166607
low,low,2040,宁夏,98.99606129904
low,low,2040,安徽,12.32250889609
low,low,2040,山东,84.97111503605
low,low,2040,山西,89.78771922695
low,low,2040,广东,14.07723776132
low,low,2040,广西,39.09894776571
low,low,2040,新疆,464.5295757623
low,low,2040,江苏,24.82559643925
low,low,2040,江西,17.41157034555
low,low,2040,河北,230.7736102776
low,low,2040,河南,54.62105896637
low,low,2040,浙江,1.724220291982
low,low,2040,海南,6.061345279184
low,low,2040,湖北,27.42793382456
low,low,2040,湖南,39.54682483556
low,low,2040,甘肃,174.7540354808
low,low,2040,福建,0
low,low,2040,西藏,32.17921035921
low,low,2040,贵州,25.68008991945
low,low,2040,辽宁,68.91175772757
low,low,2040,重庆,0
low,low,2040,陕西,72.19203773159
low,low,2040,青海,222.8766827823
low,low,2040,黑龙江,56.34250696241
low,low,2045,上海,0
low,low,2045,云南,127.3730850817
low,low,2045,内蒙古,624.6423297251
low,low,2045,北京,0.3866972449123
low,low,2045,吉林,80.39938710889
low,low,2045,四川,13.7471576508
low,low,2045,天津,7.761817579118
low,low,2045,宁夏,114.7517650297
low,low,2045,安徽,14.41188752412
low,low,2045,山东,102.6679732662
low,low,2045,山西,110.3199913396
low,low,2045,广东,17.36713077614
low,low,2045,广西,47.59544137227
low,low,2045,新疆,544.6001981358
low,low,2045,江苏,30.59652492551
low,low,2045,江西,21.29115029767
low,low,2045,河北,278.7579953471
low,low,2045,河南,67.97254129262
low,low,2045,浙江,2.163688815875
low,low,2045,海南,7.15512417502
low,low,2045,湖北,31.7084092143
low,low,2045,湖南,48.96010339218
low,low,2045,甘肃,206.1744754532
low,low,2045,福建,0
low,low,2045,西藏,36.69902727344
low,low,2045,贵州,29.15465621211
low,low,2045,辽宁,85.43453541046
low,low,2045,重庆,0
low,low,2045,陕西,84.03955958245
low,low,2045,青海,253.2316217311
low,low,2045,黑龙江,69.20715361386
low,low,2050,上海,0
low,low,2050,云南,143.6626289164
