scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S2,high,2035,SC,143.76233488,74.70661317336,0,74.70661317336,69.0557217066,51.96535882346,0
S2,high,2035,SW,95.36269158856,95.36269158856,0,95.36269158856,0,100,0
S2,high,2040,CC,300.6340360316,294.6509888546,5.983,300.6339888546,4.717699999901e-05,99.9999843075,1.990127604266
S2,high,2040,EC,510.8433369039,204.714238278,106.336,311.050238278,199.7930986259,60.88955572235,34.18611751873
S2,high,2040,NC,166.745508487,95.5334437444,0,95.5334437444,71.21206474255,57.29296375733,0
S2,high,2040,NE,7.789399892156,7.789399892156,0,7.789399892156,0,100,0
S2,high,2040,NW,37.85764094062,37.85764094062,0,37.85764094062,0,100,0
S2,high,2040,SC,237.8980641289,113.5614579697,0,113.5614579697,124.3366061593,47.73534344867,0
S2,high,2040,SW,157.806283113,157.806283113,0,157.806283113,0,100,0
S2,high,2045,CC,442.5958436939,383.0732617007,59.522,442.5952617007,0.0005819932000009,99.99986850459,13.44840425342
S2,high,2045,EC,752.0676656472,262.9863403067,182.366,445.3523403066,306.7153253406,59.21705727415,40.94870139774
S2,high,2045,NC,245.4840775354,134.9931706055,0,134.9931706055,110.4909069299,54.99060141122,0
S2,high,2045,NE,11.46761711564,11.46761711564,0,11.46761711564,0,100,0
S2,high,2045,NW,55.73432321088,55.73432321088,0,55.73432321088,0,100,0
S2,high,2045,SC,350.2354417224,158.2327795757,0,158.2327795757,192.0026621467,45.17897412024,0
S2,high,2045,SW,232.3236781055,228.9643441882,3.359,232.3233441882,0.0003339173699999,99.99985627063,1.445829738607
S2,high,2050,CC,608.5634122512,468.4967737912,140.066,608.5627737912,0.0006384599900002,99.99989508735,23.01586722557
S2,high,2050,EC,1034.083061039,325.6201808663,274.798,600.4181808662,433.6648801726,58.06285814826,45.76776799189
S2,high,2050,NC,337.5373492698,180.596162672,0,180.596162672,156.9411865978,53.50405312559,0
S2,high,2050,NE,15.76782136957,15.76782136957,0,15.76782136957,0,100,0
S2,high,2050,NW,76.63395487324,76.63395487324,0,76.63395487324,0,100,0
S2,high,2050,SC,481.5690850755,204.6638900528,0,204.6638900528,276.9051950227,42.49938303675,0
S2,high,2050,SW,319.4419746799,294.9348206329,0,294.9348206329,24.50715404707,92.3281359403,0
S2,high,2055,CC,799.5409072544,540.6174038515,258.921,799.5384038515,0.002503402899975,99.99968689496,32.38381030264
