scenario,tier,year,province_key,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt
S1,high,2055,新疆,0.0,1879.3105143544865,0.0,0.0,0.0,0.0
S1,high,2055,江苏,148.3030233911646,112.36901839475162,112.36901839475162,35.934,148.30301839475163,4.9964129686941305e-06
S1,high,2055,江西,0.0,77.46749387175065,0.0,0.0,0.0,0.0
S1,high,2055,河北,353.6374086335952,999.271374629976,353.6374086335952,0.0,353.6374086335952,0.0
S1,high,2055,河南,0.0,252.46801585365847,0.0,0.0,0.0,0.0
S1,high,2055,浙江,433.6868644363881,8.11366896976857,8.11366896976857,0.0,8.11366896976857,425.5731954666195
S1,high,2055,海南,58.87202818273789,24.91381857784828,24.91381857784828,0.0,24.91381857784828,33.95820960488962
S1,high,2055,湖北,0.0,107.38495998341688,0.0,0.0,0.0,0.0
S1,high,2055,湖南,0.0,180.76442801442408,0.0,0.0,0.0,0.0
S1,high,2055,甘肃,0.0,717.3742810616243,0.0,0.0,0.0,0.0
S1,high,2055,福建,184.5841679778229,0.0,0.0,0.0,0.0,184.5841679778229
S1,high,2055,西藏,0.0,121.96976293835564,0.0,0.0,0.0,0.0
S1,high,2055,贵州,0.0,96.27677012649444,0.0,0.0,0.0,0.0
S1,high,2055,辽宁,179.0084625387213,315.9469087366463,179.0084625387213,0.0,179.0084625387213,0.0
S1,high,2055,陕西,0.0,287.29227542447023,0.0,0.0,0.0,0.0
S1,high,2055,青海,0.0,837.177332343276,0.0,0.0,0.0,0.0
S1,high,2055,黑龙江,0.0,253.16385844463736,0.0,0.0,0.0,0.0
S1,high,2060,上海,230.1929786409236,0.0,0.0,0.0,0.0,230.1929786409236
S1,high,2060,云南,0.0,469.9779108951084,0.0,0.0,0.0,0.0
S1,high,2060,内蒙古,0.0,2560.3773063664426,0.0,0.0,0.0,0.0
S1,high,2060,北京,0.0,1.62314980371073,0.0,0.0,0.0,0.0
S1,high,2060,四川,0.0,54.22351790178733,0.0,0.0,0.0,0.0
S1,high,2060,天津,168.73103070071764,29.49793551106812,29.49793551106812,0.0,29.49793551106812,139.23309518964953
S1,high,2060,宁夏,0.0,432.0503365912384,0.0,0.0,0.0,0.0
S1,high,2060,安徽,0.0,55.14672908853665,0.0,0.0,0.0,0.0
S1,high,2060,山东,621.5689796998953,415.356127884384,415.356127884384,206.212,621.568127884384,0.0008518155112824388
S1,high,2060,山西,0.0,458.4448204737887,0.0,0.0,0.0,0.0
S1,high,2060,广东,563.7633198755709,72.63149285495474,72.63149285495474,0.0,72.63149285495474,491.1318270206162
S1,high,2060,广西,137.72207671870106,194.8931258452045,137.72207671870106,0.0,137.72207671870106,0.0
S1,high,2060,新疆,0.0,2092.8321740172887,0.0,0.0,0.0,0.0
S1,high,2060,江苏,172.31924207898786,127.75816102477592,127.75816102477592,44.561,172.31916102477592,8.10542119324964e-05
S1,high,2060,江西,0.0,87.81304041073183,0.0,0.0,0.0,0.0
S1,high,2060,河北,410.905515161257,1127.2297348154414,410.905515161257,0.0,410.905515161257,0.0
S1,high,2060,河南,0.0,288.07196872366205,0.0,0.0,0.0,0.0
S1,high,2060,浙江,503.918194453637,9.28558503348564,9.28558503348564,0.0,9.28558503348564,494.63260942015137
S1,high,2060,海南,68.40577517657404,27.83056230007871,27.83056230007871,0.0,27.83056230007871,40.57521287649533
S1,high,2060,湖北,0.0,118.79956102272313,0.0,0.0,0.0,0.0
S1,high,2060,湖南,0.0,205.8665041654,0.0,0.0,0.0,0.0
S1,high,2060,甘肃,0.0,801.1621209881617,0.0,0.0,0.0,0.0
S1,high,2060,福建,214.47576184487957,0.0,0.0,0.0,0.0,214.47576184487957
S1,high,2060,西藏,0.0,134.02260804295014,0.0,0.0,0.0,0.0
S1,high,2060,贵州,0.0,105.5422802402608,0.0,0.0,0.0,0.0
S1,high,2060,辽宁,207.99712564885635,360.00764922435144,207.99712564885635,0.0,207.99712564885635,0.0
S1,high,2060,陕西,0.0,318.8856670267694,0.0,0.0,0.0,0.0
S1,high,2060,青海,0.0,918.1238362067452,0.0,0.0,0.0,0.0
S1,high,2060,黑龙江,0.0,287.4695828484819,0.0,0.0,0.0,0.0
S1,low,2025,上海,0.4603859572818471,0.0,0.0,0.0,0.0,0.4603859572818471
S1,low,2025,云南,0.0,55.42463688618291,0.0,0.0,0.0,0.0
S1,low,2025,内蒙古,0.0,249.97123088190696,0.0,0.0,0.0,0.0
S1,low,2025,北京,0.0,0.15149524667688,0.0,0.0,0.0,0.0
S1,low,2025,四川,0.0,5.68293647273605,0.0,0.0,0.0,0.0
S1,low,2025,天津,0.3374620614014352,3.3041045139691,0.3374620614014352,0.0,0.3374620614014352,0.0
S1,low,2025,宁夏,0.0,49.194393014380125,0.0,0.0,0.0,0.0
S1,low,2025,安徽,0.0,6.10283905256871,0.0,0.0,0.0,0.0
S1,low,2025,山东,1.2431379593997904,41.55364391616981,1.2431379593997904,0.0,1.2431379593997904,0.0
S1,low,2025,山西,0.0,43.61439242788847,0.0,0.0,0.0,0.0
S1,low,2025,广东,1.1275266397511416,6.82663572947276,1.1275266397511416,0.0,1.1275266397511416,0.0
