scenario,tier,year,sector,composition_share,component_demand_10kt,scenario_semantics
S2,mid,2025,A,0,0,single-sector dynamic demand
S2,mid,2025,B,1,40,single-sector dynamic demand
S2,mid,2025,C,0,0,single-sector dynamic demand
S2,mid,2025,D,0,0,single-sector dynamic demand
S2,mid,2030,A,0,0,single-sector dynamic demand
S2,mid,2030,B,1,240,single-sector dynamic demand
S2,mid,2030,C,0,0,single-sector dynamic demand
S2,mid,2030,D,0,0,single-sector dynamic demand
S2,mid,2035,A,0,0,single-sector dynamic demand
S2,mid,2035,B,1,535.3819471956,single-sector dynamic demand
S2,mid,2035,C,0,0,single-sector dynamic demand
S2,mid,2035,D,0,0,single-sector dynamic demand
S2,mid,2040,A,0,0,single-sector dynamic demand
S2,mid,2040,B,1,906.2412733627,single-sector dynamic demand
S2,mid,2040,C,0,0,single-sector dynamic demand
S2,mid,2040,D,0,0,single-sector dynamic demand
S2,mid,2045,A,0,0,single-sector dynamic demand
S2,mid,2045,B,1,1355.355360114,single-sector dynamic demand
S2,mid,2045,C,0,0,single-sector dynamic demand
S2,mid,2045,D,0,0,single-sector dynamic demand
S2,mid,2050,A,0,0,single-sector dynamic demand
S2,mid,2050,B,1,1885.501589062,single-sector dynamic demand
S2,mid,2050,C,0,0,single-sector dynamic demand
S2,mid,2050,D,0,0,single-sector dynamic demand
S2,mid,2055,A,0,0,single-sector dynamic demand
S2,mid,2055,B,1,2499.45734182,single-sector dynamic demand
S2,mid,2055,C,0,0,single-sector dynamic demand
S2,mid,2055,D,0,0,single-sector dynamic demand
S2,mid,2060,A,0,0,single-sector dynamic demand
S2,mid,2060,B,1,3200,single-sector dynamic demand
S2,mid,2060,C,0,0,single-sector dynamic demand
S2,mid,2060,D,0,0,single-sector dynamic demand
S3,high,2025,A,0,0,single-sector dynamic demand
S3,high,2025,B,0,0,single-sector dynamic demand
S3,high,2025,C,1,0,single-sector dynamic demand
S3,high,2025,D,0,0,single-sector dynamic demand
S3,high,2030,A,0,0,single-sector dynamic demand
S3,high,2030,B,0,0,single-sector dynamic demand
S3,high,2030,C,1,405,single-sector dynamic demand
S3,high,2030,D,0,0,single-sector dynamic demand
S3,high,2035,A,0,0,single-sector dynamic demand
S3,high,2035,B,0,0,single-sector dynamic demand
S3,high,2035,C,1,777.4992098609,single-sector dynamic demand
S3,high,2035,D,0,0,single-sector dynamic demand
S3,high,2040,A,0,0,single-sector dynamic demand
S3,high,2040,B,0,0,single-sector dynamic demand
S3,high,2040,C,1,1140.227560051,single-sector dynamic demand
S3,high,2040,D,0,0,single-sector dynamic demand
S3,high,2045,A,0,0,single-sector dynamic demand
S3,high,2045,B,0,0,single-sector dynamic demand
S3,high,2045,C,1,1490.013432364,single-sector dynamic demand
S3,high,2045,D,0,0,single-sector dynamic demand
S3,high,2050,A,0,0,single-sector dynamic demand
S3,high,2050,B,0,0,single-sector dynamic demand
S3,high,2050,C,1,1823.685208597,single-sector dynamic demand
S3,high,2050,D,0,0,single-sector dynamic demand
S3,high,2055,A,0,0,single-sector dynamic demand
S3,high,2055,B,0,0,single-sector dynamic demand
S3,high,2055,C,1,2138.071270544,single-sector dynamic demand
S3,high,2055,D,0,0,single-sector dynamic demand
S3,high,2060,A,0,0,single-sector dynamic demand
S3,high,2060,B,0,0,single-sector dynamic demand
S3,high,2060,C,1,2430,single-sector dynamic demand
S3,high,2060,D,0,0,single-sector dynamic demand
S3,low,2025,A,0,0,single-sector dynamic demand
S3,low,2025,B,0,0,single-sector dynamic demand
S3,low,2025,C,1,0,single-sector dynamic demand
S3,low,2025,D,0,0,single-sector dynamic demand
S3,low,2030,A,0,0,single-sector dynamic demand
S3,low,2030,B,0,0,single-sector dynamic demand
S3,low,2030,C,1,27,single-sector dynamic demand
S3,low,2030,D,0,0,single-sector dynamic demand
S3,low,2035,A,0,0,single-sector dynamic demand
S3,low,2035,B,0,0,single-sector dynamic demand
