scenario,tier,year,demand_10kt,scenario_semantics
S7,mid,2050,1237.44021257,fixed composition at S5 total
S7,mid,2055,1579.199786783,fixed composition at S5 total
S7,mid,2060,1945.5,fixed composition at S5 total
S8,high,2025,38,fixed composition at S5 total
S8,high,2030,363.25,fixed composition at S5 total
S8,high,2035,734.9417581465,fixed composition at S5 total
S8,high,2040,1159.252301669,fixed composition at S5 total
S8,high,2045,1627.447928022,fixed composition at S5 total
S8,high,2050,2127.847627927,fixed composition at S5 total
S8,high,2055,2644.791689893,fixed composition at S5 total
S8,high,2060,3157.5,fixed composition at S5 total
S8,low,2025,3.65,fixed composition at S5 total
S8,low,2030,53.75,fixed composition at S5 total
S8,low,2035,122.6420388129,fixed composition at S5 total
S8,low,2040,210.9607528848,fixed composition at S5 total
S8,low,2045,316.2495969569,fixed composition at S5 total
S8,low,2050,435.5309562094,fixed composition at S5 total
S8,low,2055,565.6571384175,fixed composition at S5 total
S8,low,2060,703.75,fixed composition at S5 total
S8,mid,2025,17.65,fixed composition at S5 total
S8,mid,2030,181.5,fixed composition at S5 total
S8,mid,2035,379.9273303551,fixed composition at S5 total
S8,mid,2040,616.3134257235,fixed composition at S5 total
S8,mid,2045,884.7950679698,fixed composition at S5 total
S8,mid,2050,1178.467934303,fixed composition at S5 total
S8,mid,2055,1490.019275299,fixed composition at S5 total
S8,mid,2060,1812.5,fixed composition at S5 total
