scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_tonne_km,edges_used,max_edge_util_pct,min_cost_objective,active_segments,capacity_factor,connector_count
S3,low,2055,123.00714285714288,4043.3333333333408,94.64066043416855,2.417,97.05766043416855,25.949482422974327,78.90408490089771,115177.40149287516,1,0.4028333333333333,11517005,125,1.0,0
S3,low,2060,135.00000000000003,4535.7142857142935,105.41480654893414,2.226,107.64080654893414,27.35919345106589,79.73393077698823,106075.6705515681,1,0.371,10606890,132,1.0,0
S3,mid,2025,0.0,1261.7190721006984,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,96,1.0,0
S3,mid,2030,162.00000000000003,2224.9240121580538,87.79172691895992,17.035,104.82672691895992,57.17327308104011,64.70785612281476,811769.563273119,1,2.839166666666667,81171775,97,1.0,0
S3,mid,2035,295.92857142857144,3460.045836516417,153.9809158593239,33.842,187.82291585932387,108.10565556924757,63.46900366957601,1612674.2330665623,1,5.640333333333333,161257130,103,1.0,0
S3,mid,2040,423.5314285714285,4635.6989247311785,218.61579162199877,49.909,268.52479162199876,155.00663694942972,63.40138499939258,2399698.793368274,2,7.7315000000000005,239956545,101,1.0,0
S3,mid,2045,541.7742857142857,5525.161290322575,276.5336866138343,65.703,342.2366866138343,199.53759910045142,63.16960690790683,3210144.3853164753,2,8.777666666666665,321001291,114,1.0,0
S3,mid,2050,647.6228571428572,5924.5836516424615,324.04283691578803,81.625,405.66783691578803,241.9550202270692,62.6395181148313,4054821.761827358,2,9.073333333333334,405471605,121,1.0,0
S3,mid,2055,738.0428571428571,6194.042553191487,363.6152795047205,95.549,459.1642795047205,278.87857763813656,62.21376916812891,4797660.80242211,2,9.217833333333333,479758121,125,1.0,0
S3,mid,2060,810.0000000000001,6335.600907029496,393.16051157425,106.957,500.11751157425,309.8824884257501,61.74290266348765,5410727.23707992,2,9.213999999999999,541067289,132,1.0,0
S4,high,2025,12.6,1261.7190721006984,11.661707776277991,0.0,11.661707776277991,0.9382922237220086,92.5532363196666,0.0,0,0.0,0,96,1.0,0
S4,high,2030,251.99999999999994,3873.0158730158746,212.65353382083995,0.0,212.65353382083995,39.34646617915999,84.38632294477777,0.0,0,0.0,0,97,1.0,0
S4,high,2035,523.6494297184413,5530.158730158732,420.39355534079806,6.391,426.7845553407981,96.86487437764322,81.50196125875168,70471.99527736503,2,1.0819059345087836,7048421,103,1.0,0
S4,high,2040,840.3483539624552,6843.174603174606,641.1290470222209,34.059,675.1880470222209,165.16030694023436,80.34620926411509,343446.12460304564,2,6.549637861934125,34349820,101,1.0,0
S4,high,2045,1177.4029423126444,8156.19047619048,869.8703564097369,66.492,936.3623564097369,241.04058590290754,79.52777445676688,644491.6840855352,2,12.47494515748444,64458756,114,1.0,0
S4,high,2050,1512.4340392700483,9469.206349206353,1093.419687302264,98.605,1192.024687302264,320.40935196778423,78.81498672679804,942751.7345974413,2,17.871283703965677,94289102,121,1.0,0
S4,high,2055,1825.6382262452448,10782.222222222226,1305.0980659950042,127.259,1432.3570659950042,393.28116025024065,78.45788094286925,1210909.9601596973,2,21.658934708098634,121108843,125,1.0,0
S4,high,2060,2099.9999999999995,12095.2380952381,1494.6115214411204,149.76,1644.3715214411204,455.6284785588791,78.30340578291052,1425512.2635511653,2,23.635271812478955,142572240,132,1.0,0
S4,low,2025,0.0,1261.7190721006984,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,96,1.0,0
S4,low,2030,41.99999999999999,1452.3809523809548,36.6716112076966,0.0,36.6716112076966,5.328388792303393,87.31336001832526,0.0,0,0.0,0,97,1.0,0
S4,low,2035,101.33633363967414,2073.8095238095275,87.41758353884637,0.0,87.41758353884637,13.918750100827765,86.26479802365927,0.0,0,0.0,0,103,1.0,0
S4,low,2040,177.3767560664112,2566.190476190481,149.55975750255422,0.0,149.55975750255422,27.81699856385697,84.31756269494404,0.0,0,0.0,0,101,1.0,0
S4,low,2045,259.816591915191,3058.571428571434,213.08599236205657,2.298,215.38399236205657,44.43259955313442,82.89847494896013,14680.95189208574,1,0.38340233690811504,1468422,114,1.0,0
S4,low,2050,336.26688757723235,3550.952380952387,271.5773464658719,5.126,276.7033464658719,59.56354111136045,82.28682534265877,35191.592356122106,2,0.8440933324708316,3519914,121,1.0,0
S4,low,2055,393.6583798237892,4043.3333333333408,316.95604042423304,6.728,323.68404042423305,69.97433939955613,82.22460311123612,52946.71103540267,2,1.0875836179079046,5295733,125,1.0,0
S4,low,2060,419.99999999999994,4535.7142857142935,340.9720910338785,6.333,347.3050910338785,72.69490896612143,82.69168834139965,40458.86350416841,1,0.9895859066591893,4046787,132,1.0,0
S4,mid,2025,4.199999999999999,1261.7190721006984,3.9701850925462723,0.0,3.9701850925462723,0.229814907453727,94.52821648919698,0.0,0,0.0,0,96,1.0,0
S4,mid,2030,125.99999999999997,2224.9240121580538,108.04450289945179,0.0,108.04450289945179,17.955497100548186,85.7496054757554,0.0,0,0.0,0,97,1.0,0
S4,mid,2035,292.50669654519663,3460.045836516417,238.8611386887568,1.739,240.6001386887568,51.90655785643983,82.25457452102486,11109.736875690645,1,0.2943881114239985,1111221,103,1.0,0
S4,mid,2040,505.0362478155476,4635.6989247311785,396.164817300882,12.896,409.06081730088204,95.97543051466556,80.99632829726743,144090.29492542043,2,2.4799356959247922,14411314,101,1.0,0
S4,mid,2045,738.1557227280321,5525.161290322575,555.6880480484898,35.627,591.3150480484898,146.8406746795423,80.10708714187608,354641.9046657102,2,6.684185633244573,35469535,114,1.0,0
S4,mid,2050,962.2677715767518,5924.5836516424615,692.8068639503368,64.226,757.0328639503368,205.23490762641495,78.67174671244352,611884.630745512,2,11.64039417038588,61197487,121,1.0,0
S4,mid,2055,1146.1413381265818,6194.042553191487,801.2440840934605,88.531,889.7750840934605,256.3662540331213,77.6322303798794,829873.8614421277,2,15.067595601432357,82999523,125,1.0,0
S4,mid,2060,1259.9999999999998,6335.600907029496,860.9286903570971,110.391,971.3196903570971,288.68030964290267,77.08886431405534,1235005.5205366947,4,16.380556436704165,123515096,132,1.0,0
S5,high,2025,66.36263157894737,1261.7190721006984,50.99837337094875,0.0,50.99837337094875,15.364258207998624,76.84802750819074,0.0,0,0.0,0,96,1.0,0
S5,high,2030,374.63523743977976,3873.0158730158746,252.45180277689863,3.786,256.2378027768986,118.39743466288115,68.39661013416743,180414.4154125053,1,0.631,18040290,97,1.0,0
S5,high,2035,756.5973508203311,5530.158730158732,489.2921253778297,14.739,504.03112537782965,252.5662254425015,66.61814567964589,702358.1798111242,1,2.4565,70231335,103,1.0,0
S5,high,2040,1197.1758836536073,6843.174603174606,757.7009099823131,31.756,789.456909982313,407.7189736712943,65.94326871779316,1254710.6185311084,3,4.186166666666667,125464234,101,1.0,0
S5,high,2045,1696.7171699996616,8156.19047619048,1042.9601586341055,71.13,1114.0901586341056,582.627011365556,65.66151261581963,1939782.1318516138,3,6.9813689504775525,193972433,114,1.0,0
S5,high,2050,2252.1053618101105,9469.206349206353,1358.9488482311315,118.215,1477.1638482311314,774.9415135789791,65.59035262204044,2678819.7158706067,4,13.86730419392045,267880960,121,1.0,0
S5,high,2055,2856.920323609113,10782.222222222226,1696.1714528774842,174.015,1870.186452877484,986.7338707316289,65.46162444302612,3540395.7055767504,4,21.271569292720294,354050022,125,1.0,0
S5,high,2060,3503.1591448931117,12095.2380952381,2052.7022452803412,205.627,2258.329245280341,1244.8298996127705,64.46550533031086,4095126.5140950144,4,23.523534549903932,409530566,132,1.0,0
S5,low,2025,7.367123287671233,1261.7190721006984,6.667521295142072,0.0,6.667521295142072,0.6996019925291606,90.50372899690801,0.0,0,0.0,0,96,1.0,0
S5,low,2030,61.62325581395349,1452.3809523809548,48.803416123526844,0.0,48.803416123526844,12.819839690426647,79.19642589296,0.0,0,0.0,0,97,1.0,0
S5,low,2035,148.53589706463003,2073.8095238095275,111.52354580786431,0.0,111.52354580786431,37.012351256765726,75.08188122318934,0.0,0,0.0,0,103,1.0,0
S5,low,2040,269.69344859965054,2566.190476190481,198.55231374614868,0.242,198.79431374614867,70.89913485350186,73.7112135197808,1546.0358389402736,1,0.04073487140948339,154638,101,1.0,0
S5,low,2045,426.3285136328028,3058.571428571434,300.32973588965524,9.611,309.94073588965523,116.38777774314758,72.699978063538,99137.55046544554,2,1.8031747865695564,9915274,114,1.0,0
S5,low,2050,619.9040761418944,3550.952380952387,417.2746550364319,27.802,445.07665503643193,174.82742110546246,71.79766550438927,261994.76775829328,2,5.038866482811762,26203319,121,1.0,0
S5,low,2055,853.6060659086763,4043.3333333333408,549.5153156830067,51.364,600.8793156830068,252.72675022566955,70.39304659150493,471228.2857293708,2,8.741931983960098,47129642,125,1.0,0
S5,low,2060,1133.2948490230904,4535.7142857142935,700.8879422725622,84.387,785.2749422725622,348.0199067505282,69.29131840222125,874141.0809689126,3,12.789024114077403,87424510,132,1.0,0
S5,mid,2025,32.784702549575066,1261.7190721006984,26.867612007350083,0.0,26.867612007350083,5.917090542224983,81.95167232864927,0.0,0,0.0,0,96,1.0,0
S5,mid,2030,191.35537190082647,2224.9240121580538,135.59726171162993,0.0,135.59726171162993,55.75811018919654,70.86148685802547,0.0,0,0.0,0,97,1.0,0
S5,mid,2035,405.6685495027474,3460.045836516417,284.340634847185,0.0,284.340634847185,121.32791465556238,70.09186075571267,0.0,0,0.0,0,103,1.0,0
