scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_delivery_share_pct,pipeline_tonne_km,average_pipeline_distance_km,edges_used,max_edge_util_pct,min_cost_objective
S2,low,2035,204.5657984459,2073.809523809,155.3404065434,1.895,157.2354065434,47.33039190252,76.86299847673,0.9263523103062,1504942.065629,79.41646784322,2,0.3207967056633,150494944
S2,low,2040,380.3966029631,2566.190476191,266.6183185413,17.891,284.5093185413,95.88728442183,74.79281263952,4.703249151185,19129661.61181,106.9233783009,2,3.440487712143,1912976124
S2,low,2045,607.6739194644,3058.571428571,398.6209980027,42.915,441.5359980027,166.1379214617,72.66002108366,7.062175720463,43890046.62951,102.2720415461,2,8.051529077685,4389027600
S2,low,2050,886.5792538625,3550.952380952,532.6074185021,97.888,630.4954185021,256.0838353605,71.11551683115,11.04108849531,151378611.6876,154.6447079188,6,13.66739520426,15137901686
S2,low,2055,1217.29411207,4043.333333333,670.7231659431,170.464,841.1871659431,376.1069461271,69.10303414781,14.00351799206,441902201.0232,259.2349123705,10,19.64075408615,44190303501
S2,low,2060,1600,4535.714285714,799.2177641879,274.609,1073.826764188,526.1732358121,67.11417276174,17.1630625,986609358.2879,359.2778671813,11,25.71124914569,98661063525
S2,mid,2025,40,1261.719072101,33.88102393869,0,33.88102393869,6.11897606131,84.70255984672,0,0,0,0,0,0
S2,mid,2030,240,2224.924012158,180.012226363,3.266,183.278226363,56.72177363699,76.36592765126,1.360833333333,4442210.963272,136.013807816,2,0.6588559389762,444223372
S2,mid,2035,535.3819471956,3460.045836516,367.7609199293,28.598,396.3589199293,139.0230272663,74.03292584023,5.341607080665,29427353.52613,102.900040304,2,5.5991586596,2942750724
S2,mid,2040,906.2412733627,4635.698924731,594.0245383505,64.017,658.0415383505,248.1997350122,72.61217930506,7.064012849741,64942052.35239,101.4450104697,2,12.31064232677,6494239196
S2,mid,2045,1355.355360114,5525.161290323,818.3209037202,145.721,964.0419037202,391.3134563939,71.12834995828,10.75149767274,205837975.9587,141.2548472483,5,21.5384734859,20583859930
S2,mid,2050,1885.501589062,5924.583651642,997.0523089911,291.247,1288.299308991,597.2022800711,68.3266095592,15.44665895216,893514598.8201,306.7892884116,11,33.45802269835,89351598418
S2,mid,2055,2499.45734182,6194.042553192,1144.552572713,495.46,1640.012572713,859.444769107,65.61474545986,19.82270278073,2058980485.832,415.5694679353,11,65.32490446722,205898271196
S2,mid,2060,3200,6335.60090703,1292.817576222,738.738,2031.555576222,1168.444423778,63.48611175694,23.0855625,3928265113.26,531.753492207,13,99.99973195974,392826702825
S3,high,2025,0,1261.719072101,0,0,0,0,0,0,0,0,0,0,0
S3,high,2030,405,3873.015873016,201.7979575256,50.209,252.0069575256,152.9930424744,62.22394012977,12.39728395062,264033839.086,525.8695434803,2,6.886166666667,26403366330
S3,high,2035,777.4992098609,5530.158730158,365.8972952193,104.979,470.8762952193,306.6229146417,60.56292909976,13.50213590812,575637132.1697,548.3355072631,2,9.869,57563696952
S3,high,2040,1140.22756005,6843.174603174,521.6556032728,159.74,681.3956032728,458.8319567777,59.75961528614,14.00948421147,894677794.0587,560.0837573925,2,13.5749475348,89467770960
S3,high,2045,1490.013432364,8156.190476191,672.5317650006,212.339,884.8707650006,605.1426673635,59.38676429223,14.25081112612,1200805876.686,565.5135781397,2,19.92742806331,120080586458
S3,high,2050,1823.685208597,9469.206349207,817.3293863032,262.244,1079.573386303,744.1118222936,59.19735386426,14.37989400604,1490842052.184,568.4942466497,2,25.80552099304,149084210514
S3,high,2055,2138.071270544,10782.22222222,954.8520730809,308.927,1263.779073081,874.2921974627,59.10836979534,14.44886352743,1761634356.086,570.2429234369,2,30.94596738971,176163446540
S3,high,2060,2430,12095.23809524,1083.903431234,351.857,1435.760431234,994.2395687659,59.08479140881,14.47971193416,2010009433.442,571.2574805793,2,35.39576453102,201000958896
S3,low,2025,0,1261.719072101,0,0,0,0,0,0,0,0,0,0,0
S3,low,2030,27,1452.380952381,22.03061557152,0,22.03061557152,4.969384428479,81.59487248711,0,0,0,0,0,0
S3,low,2035,49.32142857143,2073.809523809,39.80931777862,0,39.80931777862,9.51211079281,80.71404039112,0,0,0,0,0,0
S3,low,2040,70.58857142858,2566.190476191,55.77225225226,0.244,56.01625225226,14.57231917631,79.35597947175,0.3456650206427,1245616.300093,510.4984836447,1,0.04066666666667,124561512
S3,low,2045,90.29571428571,3058.571428571,69.61802133566,1.342,70.96002133566,19.33569295005,78.58625616619,1.486227791226,6850889.65051,510.4984836446,1,0.2236666666667,685088316
S3,low,2050,107.9371428571,3550.952380952,82.64127804635,2.094,84.73527804635,23.20186481079,78.504281106,1.940017999895,10689838.24752,510.4984836447,1,0.349,1068982812
S3,low,2055,123.0071428572,4043.333333333,94.64066043417,2.417,97.05766043417,25.94948242299,78.90408490089,1.964926543173,12338748.34969,510.4984836446,1,0.4028333333333,1233873666
S3,low,2060,135,4535.714285714,105.4148065489,2.226,107.6408065489,27.35919345106,79.73393077699,1.648888888889,11363696.24593,510.4984836447,1,0.371,1136368548
S3,mid,2025,0,1261.719072101,0,0,0,0,0,0,0,0,0,0,0
S3,mid,2030,162,2224.924012158,87.79172691897,17.035,104.826726919,57.17327308103,64.70785612282,10.51543209877,86963416.68886,510.4984836446,1,2.839166666667,8696333430
S3,mid,2035,295.9285714286,3460.045836516,153.9809158593,33.842,187.8229158593,108.1056555693,63.46900366958,11.4358677287,172762896.835,510.4984836446,1,5.640333333333,17276273316
S3,mid,2040,423.5314285714,4635.698924731,218.615791622,49.909,268.524791622,155.0066369494,63.40138499939,11.7840133301,257839810.4608,516.6198690833,2,7.7315,25783959562
S3,mid,2045,541.7742857143,5525.161290323,276.5336866138,65.703,342.2366866138,199.5375991004,63.16960690791,12.1273751325,346728054.1879,527.7202778989,2,8.777666666667,34672783472
S3,mid,2050,647.6228571428,5924.583651642,324.0428369158,81.625,405.6678369158,241.955020227,62.63951811484,12.6037861542,440289131.1956,539.4047549104,2,9.073333333333,44028894140
S3,mid,2055,738.0428571429,6194.042553192,363.6152795047,95.549,459.1642795047,278.8785776382,62.21376916812,12.94626715444,522703534.1864,547.0528568446,2,9.217833333333,52270337550
S3,mid,2060,810,6335.60090703,393.1605115743,106.957,500.1175115743,309.8824884258,61.74290266349,13.20456790123,590862537.1489,552.4299832165,2,9.214,59086240948
S4,high,2025,12.6,1261.719072101,11.66170777628,0,11.66170777628,0.9382922237217,92.55323631967,0,0,0,0,0,0
S4,high,2030,252,3873.015873016,212.6535338209,0,212.6535338209,39.34646617916,84.38632294478,0,0,0,0,0,0
S4,high,2035,523.6494297185,5530.158730158,420.3935553408,6.391,426.7845553408,96.86487437764,81.50196125875,1.220473018263,7657211.936954,119.8124227344,2,1.081905934509,765725084
S4,high,2040,840.3483539625,6843.174603174,641.1290470222,34.059,675.1880470222,165.1603069402,80.34620926411,4.052962065006,37587417.90558,110.3597225567,2,6.549637861934,3758761320
S4,high,2045,1177.402942313,8156.190476191,869.8703564097,66.492,936.3623564097,241.0405859029,79.52777445676,5.647344474049,70601278.34982,106.1801094114,2,12.47494515748,7060164624
S4,high,2050,1512.43403927,9469.206349207,1093.419687302,98.605,1192.024687302,320.4093519677,78.8149867268,6.519623166349,103309152.802,104.7707041245,2,17.87128370397,10330969168
S4,high,2055,1825.638226245,10782.22222222,1305.098065995,127.259,1432.357065995,393.2811602503,78.45788094287,6.970658160557,132710342.0303,104.2836593328,2,21.6589347081,13271103452
S4,high,2060,2100,12095.23809524,1494.611521441,149.76,1644.371521441,455.6284785588,78.30340578291,7.131428571429,156228442.4132,104.3192056712,2,23.63527181248,15622925760
S4,low,2025,0,1261.719072101,0,0,0,0,0,0,0,0,0,0,0
S4,low,2030,42,1452.380952381,36.6716112077,0,36.6716112077,5.328388792304,87.31336001833,0,0,0,0,0,0
S4,low,2035,101.3363336397,2073.809523809,87.41758353885,0,87.41758353885,13.91875010083,86.26479802366,0,0,0,0,0,0
S4,low,2040,177.3767560664,2566.190476191,149.5597575026,0,149.5597575026,27.81699856385,84.31756269495,0,0,0,0,0,0
S4,low,2045,259.8165919152,3058.571428571,213.0859923621,2.298,215.3839923621,44.43259955313,82.89847494896,0.8844700729313,1568974.928899,68.27567140553,1,0.3834023369081,156898248
S4,low,2050,336.2668875772,3550.952380952,271.5773464659,5.126,276.7033464659,59.56354111137,82.28682534266,1.524384406961,3771345.440356,73.57287242208,2,0.8440933324708,377136376
S4,low,2055,393.6583798238,4043.333333333,316.9560404242,6.728,323.6840404242,69.97433939956,82.22460311124,1.709096095709,5700769.194214,84.73200348118,2,1.087583617908,570079732
