scenario,tier,year,segment_id,from_node_id,to_node_id,flow_10kt,capacity_10kt,flow_to_capacity_pct,distance_km
S2,mid,2030,S115,N067,N053,3.259,494.64530972647526,0.6588559389761794,0.6109355782786213
S2,mid,2030,S116,N053,N046,3.266,590.040307309705,0.553521506842704,0.6388577846860636
S2,mid,2035,S115,N067,N053,28.598,510.7553069775432,5.5991586596000635,0.6109355782786213
S2,mid,2035,S116,N053,N046,14.667,590.7167893391488,2.482915716075783,0.6388577846860636
S2,mid,2040,S115,N067,N053,64.017,520.0134834621572,12.310642326769338,0.6109355782786213
S2,mid,2040,S116,N053,N046,31.468,594.0855871798838,5.296879890552163,0.6388577846860636
S2,mid,2045,S014,N133,N078,8.93,515.2921723951683,1.732997409700946,4.206035336869822
S2,mid,2045,S032,N132,N133,30.92,60.32139432744668,51.25876207727375,2.0908149952548554
S2,mid,2045,S115,N067,N053,114.801,533.0043471983331,21.53847348589862,0.6109355782786213
S2,mid,2045,S116,N053,N046,54.321,599.3703686137759,9.063010593205272,0.6388577846860636
S2,mid,2050,S014,N133,N078,40.457,607.2698339672603,6.662112579460214,4.206035336869822
S2,mid,2050,S015,N078,N144,8.395,270.11301831513526,3.107958310326875,2.7323439698275602
S2,mid,2050,S032,N132,N133,106.181,173.37185041702344,61.24465981334076,2.0908149952548554
S2,mid,2050,S034,N018,N057,0.461,679.0523626601046,0.06788872631178086,5.3727797621738445
S2,mid,2050,S115,N067,N053,128.27,551.7510752633809,23.247802451272022,0.6109355782786213
S2,mid,2050,S116,N053,N046,27.92,607.2788165492509,4.597558689540698,0.6388577846860636
S2,mid,2055,S014,N133,N078,96.803,770.3517308641887,12.566078081165,4.206035336869822
S2,mid,2055,S015,N078,N144,36.392,372.7328034422147,9.763562440417699,2.7323439698275602
S2,mid,2055,S032,N132,N133,218.76,365.5451329729143,59.844867368596425,2.0908149952548554
S2,mid,2055,S034,N018,N057,8.085,687.1686941372941,1.1765669869682165,5.3727797621738445
S2,mid,2055,S115,N067,N053,115.322,587.5589068210993,19.627308625773825,0.6109355782786213
S2,mid,2060,S014,N133,N078,165.799,972.968053464459,17.040538937495175,4.206035336869822
S2,mid,2060,S015,N078,N144,71.705,497.09868408958084,14.424701230365404,2.7323439698275602
S2,mid,2060,S032,N132,N133,356.728,691.8298716318395,51.562965785009425,2.0908149952548554
S2,mid,2060,S034,N018,N057,17.523,695.8883450140861,2.5180763732499787,5.3727797621738445
S2,mid,2060,S115,N067,N053,94.434,633.6292689510332,14.903667590408904,0.6109355782786213
S3,high,2030,S034,N018,N057,8.892,651.116647298594,1.365653917296057,5.3727797621738445
S3,high,2030,S051,N127,N109,41.317,600.0,6.886166666666666,4.765304157752386
S3,high,2035,S034,N018,N057,45.765,667.3856553305831,6.857354459818401,5.3727797621738445
S3,high,2035,S051,N127,N109,59.214,600.0,9.869,4.765304157752386
S3,high,2040,S034,N018,N057,91.26,672.2677915772992,13.574947534803423,5.3727797621738445
S3,high,2040,S051,N127,N109,68.48,600.0,11.413333333333334,4.765304157752386
S3,high,2045,S034,N018,N057,134.594,675.4208298851844,19.927428063312735,5.3727797621738445
S3,high,2045,S051,N127,N109,77.745,600.0,12.9575,4.765304157752386
S3,high,2050,S034,N018,N057,175.233,679.0523626601046,25.805520993041856,5.3727797621738445
S3,high,2050,S051,N127,N109,87.011,600.0,14.501833333333334,4.765304157752386
S3,high,2055,S034,N018,N057,212.651,687.1686941372941,30.945967389706645,5.3727797621738445
S3,high,2055,S051,N127,N109,96.276,600.0,16.046,4.765304157752386
S3,high,2060,S034,N018,N057,246.315,695.8883450140861,35.39576453102029,5.3727797621738445
S3,high,2060,S051,N127,N109,105.542,600.0,17.590333333333334,4.765304157752386
S3,low,2040,S051,N127,N109,0.244,600.0,0.04066666666666666,4.765304157752386
S3,low,2045,S051,N127,N109,1.342,600.0,0.2236666666666667,4.765304157752386
S3,low,2050,S051,N127,N109,2.094,600.0,0.349,4.765304157752386
S3,low,2055,S051,N127,N109,2.417,600.0,0.4028333333333333,4.765304157752386
S3,low,2060,S051,N127,N109,2.226,600.0,0.371,4.765304157752386
S3,mid,2030,S051,N127,N109,17.035,600.0,2.839166666666667,4.765304157752386
S3,mid,2035,S051,N127,N109,33.842,600.0,5.640333333333333,4.765304157752386
S3,mid,2040,S034,N018,N057,3.52,672.2677915772992,0.5236008691925055,5.3727797621738445
S3,mid,2040,S051,N127,N109,46.389,600.0,7.7315000000000005,4.765304157752386
S3,mid,2045,S034,N018,N057,13.037,675.4208298851844,1.9302040184659652,5.3727797621738445
S3,mid,2045,S051,N127,N109,52.666,600.0,8.777666666666665,4.765304157752386
S3,mid,2050,S034,N018,N057,27.185,679.0523626601046,4.003373155717489,5.3727797621738445
S3,mid,2050,S051,N127,N109,54.44,600.0,9.073333333333334,4.765304157752386
S3,mid,2055,S034,N018,N057,40.242,687.1686941372941,5.856203919551635,5.3727797621738445
S3,mid,2055,S051,N127,N109,55.307,600.0,9.217833333333333,4.765304157752386
S3,mid,2060,S034,N018,N057,51.673,695.8883450140861,7.4254728319891665,5.3727797621738445
S3,mid,2060,S051,N127,N109,55.284,600.0,9.213999999999999,4.765304157752386
S4,high,2035,S115,N067,N053,4.852,510.7553069775432,0.9499656555136552,0.6109355782786213
S4,high,2035,S116,N053,N046,6.391,590.7167893391488,1.0819059345087836,0.6388577846860636
S4,high,2040,S115,N067,N053,34.059,520.0134834621572,6.549637861934125,0.6109355782786213
S4,high,2040,S116,N053,N046,21.189,594.0855871798838,3.56665781113861,0.6388577846860636
S4,high,2045,S115,N067,N053,66.492,533.0043471983331,12.47494515748444,0.6109355782786213
S4,high,2045,S116,N053,N046,37.296,599.3703686137759,6.222529833474786,0.6388577846860636
S4,high,2050,S115,N067,N053,98.605,551.7510752633809,17.871283703965677,0.6109355782786213
S4,high,2050,S116,N053,N046,53.273,607.2788165492509,8.772412036815961,0.6388577846860636
S4,high,2055,S115,N067,N053,127.259,587.5589068210993,21.658934708098634,0.6109355782786213
S4,high,2055,S116,N053,N046,67.846,618.6191010252712,10.967330282488065,0.6388577846860636
S4,high,2060,S115,N067,N053,149.76,633.6292689510332,23.635271812478955,0.6109355782786213
S4,high,2060,S116,N053,N046,79.92,639.9646516167563,12.488189745808054,0.6388577846860636
S4,low,2045,S116,N053,N046,2.298,599.3703686137759,0.38340233690811504,0.6388577846860636
S4,low,2050,S115,N067,N053,0.4,551.7510752633809,0.07249646043898658,0.6109355782786213
S4,low,2050,S116,N053,N046,5.126,607.2788165492509,0.8440933324708316,0.6388577846860636
S4,low,2055,S115,N067,N053,1.631,587.5589068210993,0.27758918826101786,0.6109355782786213
S4,low,2055,S116,N053,N046,6.728,618.6191010252712,1.0875836179079046,0.6388577846860636
S4,low,2060,S116,N053,N046,6.333,639.9646516167563,0.9895859066591893,0.6388577846860636
S4,mid,2035,S116,N053,N046,1.739,590.7167893391488,0.2943881114239985,0.6388577846860636
S4,mid,2040,S115,N067,N053,12.896,520.0134834621572,2.4799356959247922,0.6109355782786213
S4,mid,2040,S116,N053,N046,10.222,594.0855871798838,1.7206275022633852,0.6388577846860636
S4,mid,2045,S115,N067,N053,35.627,533.0043471983331,6.684185633244573,0.6109355782786213
S4,mid,2045,S116,N053,N046,21.442,599.3703686137759,3.577420760654396,0.6388577846860636
S4,mid,2050,S115,N067,N053,64.226,551.7510752633809,11.64039417038588,0.6109355782786213
S4,mid,2050,S116,N053,N046,34.359,607.2788165492509,5.657862428865647,0.6388577846860636
S4,mid,2055,S115,N067,N053,88.531,587.5589068210993,15.067595601432357,0.6109355782786213
S4,mid,2055,S116,N053,N046,45.238,618.6191010252712,7.312738957627495,0.6388577846860636
S4,mid,2060,S014,N133,N078,4.855,972.968053464459,0.49898863407824584,4.206035336869822
S4,mid,2060,S047,N069,N127,1.744,763.5963694015209,0.22839291409503218,3.641649111212651
S4,mid,2060,S115,N067,N053,103.792,633.6292689510332,16.380556436704165,0.6109355782786213
S4,mid,2060,S116,N053,N046,52.154,639.9646516167563,8.149512612648564,0.6388577846860636
S5,high,2030,S051,N127,N109,3.786,600.0,0.631,4.765304157752386
S5,high,2035,S051,N127,N109,14.739,600.0,2.4565,4.765304157752386
S5,high,2040,S051,N127,N109,25.117,600.0,4.186166666666667,4.765304157752386
S5,high,2040,S115,N067,N053,6.639,520.0134834621572,1.276697664798751,0.6109355782786213
S5,high,2040,S116,N053,N046,2.7,594.0855871798838,0.4544799702710957,0.6388577846860636
S5,high,2045,S051,N127,N109,33.919,600.0,5.6531666666666665,4.765304157752386
S5,high,2045,S115,N067,N053,37.211,533.0043471983331,6.9813689504775525,0.6109355782786213
S5,high,2045,S116,N053,N046,15.043,599.3703686137759,2.5098004151909374,0.6388577846860636
S5,high,2050,S034,N018,N057,4.506,679.0523626601046,0.6635718020843483,5.3727797621738445
S5,high,2050,S051,N127,N109,37.196,600.0,6.199333333333334,4.765304157752386
S5,high,2050,S115,N067,N053,76.513,551.7510752633809,13.86730419392045,0.6109355782786213
S5,high,2050,S116,N053,N046,30.801,607.2788165492509,5.071970100162717,0.6388577846860636
S5,high,2055,S034,N018,N057,19.302,687.1686941372941,2.808917252005011,5.3727797621738445
S5,high,2055,S051,N127,N109,29.73,600.0,4.955,4.765304157752386
S5,high,2055,S115,N067,N053,124.983,587.5589068210993,21.271569292720294,0.6109355782786213
S5,high,2055,S116,N053,N046,50.567,618.6191010252712,8.174173722762932,0.6388577846860636
S5,high,2060,S034,N018,N057,37.631,695.8883450140861,5.407620384738341,5.3727797621738445
S5,high,2060,S051,N127,N109,18.944,600.0,3.1573333333333333,4.765304157752386
S5,high,2060,S115,N067,N053,149.052,633.6292689510332,23.523534549903932,0.6109355782786213
S5,high,2060,S116,N053,N046,40.689,639.9646516167563,6.3580074145043035,0.6388577846860636
S5,low,2040,S116,N053,N046,0.242,594.0855871798838,0.04073487140948339,0.6388577846860636
S5,low,2045,S115,N067,N053,9.611,533.0043471983331,1.8031747865695564,0.6109355782786213
S5,low,2045,S116,N053,N046,6.327,599.3703686137759,1.0556077396073298,0.6388577846860636
S5,low,2050,S115,N067,N053,27.802,551.7510752633809,5.038866482811762,0.6109355782786213
S5,low,2050,S116,N053,N046,14.423,607.2788165492509,2.3750210952451822,0.6388577846860636
S5,low,2055,S115,N067,N053,51.364,587.5589068210993,8.741931983960098,0.6109355782786213
S5,low,2055,S116,N053,N046,24.642,618.6191010252712,3.983388155839266,0.6388577846860636
S5,low,2060,S014,N133,N078,3.352,972.968053464459,0.34451285302374457,4.206035336869822
S5,low,2060,S115,N067,N053,81.035,633.6292689510332,12.789024114077403,0.6109355782786213
