panel,record_type,scenario,tier,year,metric,value,unit,source_boundary,variant
a,trajectory,S8,mid,2060,served_share_pct,44.62708017238906,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,demand_callout,S5,mid,2025,dynamic_demand_mt,0.706,Mt,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,demand_callout,S5,mid,2030,dynamic_demand_mt,7.26,Mt,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,demand_callout,S5,mid,2060,dynamic_demand_mt,72.5,Mt,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
b,scenario_account,S1,mid,2060,quantity_shortage_pct,0.0,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S1,mid,2060,served_pct,50.66898112448124,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S1,mid,2060,spatial_network_gap_pct,49.331018875518765,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S2,mid,2060,quantity_shortage_pct,0.0,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S2,mid,2060,served_pct,68.8637461319405,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S2,mid,2060,spatial_network_gap_pct,31.136253868059494,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S3,mid,2060,quantity_shortage_pct,0.0,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S3,mid,2060,served_pct,77.10827303385803,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S3,mid,2060,spatial_network_gap_pct,22.89172696614197,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S4,mid,2060,quantity_shortage_pct,0.0,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S4,mid,2060,served_pct,78.45074526643631,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S4,mid,2060,spatial_network_gap_pct,21.54925473356369,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S5,mid,2060,quantity_shortage_pct,12.612401282351792,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S5,mid,2060,served_pct,43.31895156475056,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S5,mid,2060,spatial_network_gap_pct,44.06864715289765,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S6,mid,2060,quantity_shortage_pct,12.612401282351792,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S6,mid,2060,served_pct,46.10928617637456,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S6,mid,2060,spatial_network_gap_pct,41.27831254127365,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S7,mid,2060,quantity_shortage_pct,12.61240128235178,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S7,mid,2060,served_pct,42.84033611989062,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
b,scenario_account,S7,mid,2060,spatial_network_gap_pct,44.5472625977576,%,upstream_figure3_dynamic_v08_panel_b_aggregate,dynamic_v08
