scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S6,mid,2060,EC,2651.866463366354,364.2360037076701,270.0537,634.28970370767,2017.5767596586838,23.918614020348702,42.575765998002346
S6,mid,2060,CC,1072.57610314766,320.9580177633168,702.1967999999999,1023.1548177633168,49.421285384343115,95.39228170016953,68.6305520737368
S6,mid,2060,SC,1340.1922000033653,154.70985671441076,0.0,154.70985671441076,1185.4823432889546,11.54385592708436,0.0
S6,mid,2060,SW,772.2465471483425,332.0207966199331,251.1417,583.1624966199331,189.08405052840942,75.51506688807663,43.06547513868636
S6,mid,2060,NW,300.4437809584246,300.4437809584246,0.0,300.4437809584246,0.0,100.0,0.0
S7,mid,2060,NC,922.5417030602721,480.53347563867607,0.0,480.53347563867607,442.008227421596,52.08799494317078,0.0
S7,mid,2060,NE,353.90491926692687,201.68217954798368,0.0,201.68217954798368,152.22273971894322,56.987673402716474,0.0
S7,mid,2060,EC,2718.8084547096564,364.2360037076701,216.85320000000002,581.0892037076701,2137.7192510019863,21.372936467851503,37.31840113641017
S7,mid,2060,CC,799.419975836125,320.9580177633168,417.84159999999997,738.7996177633167,60.620358072808266,92.41695730590114,56.55682406347163
S7,mid,2060,SC,1427.8705276792782,154.70985671441073,0.0,154.70985671441073,1273.1606709648674,10.835005955747338,0.0
S7,mid,2060,SW,697.7757999328426,293.52251580511376,325.90889999999996,619.4314158051137,78.34438412772893,88.77226981284403,52.61420258712513
S7,mid,2060,NW,329.67861951489914,329.67861951489914,0.0,329.67861951489914,0.0,99.99999999999999,0.0
S8,mid,2060,NC,876.9265316854126,455.4724740528087,0.0,455.47247405280865,421.454057632604,51.93963890879336,0.0
S8,mid,2060,NE,336.8394056575186,204.8947659346273,0.0,204.8947659346273,131.9446397228913,60.82862114504322,0.0
S8,mid,2060,EC,2674.5069876082907,364.23600370767,252.71479999999997,616.95080370767,2057.5561839006205,23.06783293392647,40.961904657756776
S8,mid,2060,CC,851.0916009769982,320.9580177633168,467.195,788.1530177633168,62.93858321368142,92.60495778110936,59.27719484293076
S8,mid,2060,SC,1398.2625340432696,154.70985671441073,0.0,154.70985671441073,1243.5526773288589,11.06443553679764,0.0
S8,mid,2060,SW,759.5475553605834,328.2797096574472,334.17729999999995,662.4570096574472,97.09054570313619,87.21731838672774,50.44513004289911
S8,mid,2060,NW,352.82538466792744,352.82538466792744,0.0,352.82538466792744,0.0,100.0,0.0
