scenario,year,plan,region,demand_10kt,local_direct_10kt,pipeline_served_10kt,served_demand_10kt,unserved_demand_10kt,demand_satisfaction_pct,baseline_demand_satisfaction_pct,optimized_2060_demand_10kt,optimized_2060_served_demand_10kt,optimized_2060_demand_satisfaction_pct,connector_gain_2060_pp
S2,2035,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
S2,2040,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
S2,2045,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
S2,2050,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
S2,2055,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
S2,2060,baseline,东北,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,100.0,17.558841541789153,17.558841541789153,100.0,0.0
S2,2025,baseline,华东,1151.541496079269,69.00476692835025,0.0,69.00476692835025,1082.5367291509187,5.992382138489618,5.992382138489618,1151.541496079269,634.289703787639,55.08179305281207,49.08941091432245
S2,2030,baseline,华东,1151.541496079269,119.66328605017542,50.8718,170.5350860501754,981.0064100290938,14.809287084382778,14.809287084382778,1151.541496079269,634.289703787639,55.08179305281207,40.272505968429286
S2,2035,baseline,华东,1151.541496079269,185.8298648278401,190.12679999999997,375.95666482784014,775.584831251429,32.64812133196113,32.64812133196113,1151.541496079269,634.289703787639,55.08179305281207,22.43367172085094
S2,2040,baseline,华东,1151.541496079269,224.8070489507063,225.6101,450.4171489507063,701.1243471285628,39.11427859823306,39.11427859823306,1151.541496079269,634.289703787639,55.08179305281207,15.96751445457901
S2,2045,baseline,华东,1151.541496079269,246.80846550092392,264.8973,511.7057465375965,639.8357495416725,44.43658767659138,44.43658767659138,1151.541496079269,634.289703787639,55.08179305281207,10.645205376220687
S2,2050,baseline,华东,1151.541496079269,257.6810075086572,295.5562,553.2371818731397,598.3043142061294,48.04318244342766,48.04318244342766,1151.541496079269,634.289703787639,55.08179305281207,7.038610609384406
S2,2055,baseline,华东,1151.541496079269,265.3282614719771,323.02819999999997,588.356461471977,563.185034607292,51.09294484612094,51.09294484612094,1151.541496079269,634.289703787639,55.08179305281207,3.9888482066911237
S2,2060,baseline,华东,1151.541496079269,269.80142243920716,364.4883,634.289703787639,517.25179229163,55.08179305281207,55.08179305281207,1151.541496079269,634.289703787639,55.08179305281207,0.0
S2,2025,baseline,华中,677.6883295030846,59.18755320876968,229.5891,288.7766532087697,388.9116762943148,42.61201508671624,42.61201508671624,677.6883295030846,677.6883295030846,100.0,57.38798491328376
S2,2030,baseline,华中,677.6883295030846,101.66601957253206,539.4633,641.129319572532,36.55900993055252,94.60533576587345,94.60533576587345,677.6883295030846,677.6883295030846,100.0,5.394664234126552
S2,2035,baseline,华中,677.6883295030846,157.75284161717494,519.9354,677.688241617175,8.788590960762122e-05,99.99998703151498,99.99998703151498,677.6883295030846,677.6883295030846,100.0,1.2968485023634457e-05
S2,2040,baseline,华中,677.6883295030846,219.65696087366098,458.0314,677.6882962481221,3.325496248862692e-05,99.99999509288253,99.99999509288253,677.6883295030846,677.6883295030846,100.0,4.907117471475431e-06
S2,2045,baseline,华中,677.6883295030846,268.51287155966077,409.1754,677.6882615569424,6.794614211003136e-05,99.99998997383616,99.99998997383616,677.6883295030846,677.6883295030846,100.0,1.002616383516397e-05
S2,2050,baseline,华中,677.6883295030846,293.12364991214906,384.5647,677.6882981535748,3.134950975436368e-05,99.99999537405199,99.99999537405199,677.6883295030846,677.6883295030846,100.0,4.625948008651903e-06
S2,2055,baseline,华中,677.6883295030846,310.5674447657548,367.1209,677.688309399908,2.0103176495922526e-05,99.99999703356607,99.99999703356607,677.6883295030846,677.6883295030846,100.0,2.9664339251667116e-06
S2,2060,baseline,华中,677.6883295030846,320.9580177633168,356.73040000000003,677.6883295030846,0.0,100.0,100.0,677.6883295030846,677.6883295030846,100.0,0.0
S2,2025,baseline,华北,375.87721799667526,147.41140231332685,52.5955,200.00690231332683,175.8703156833484,53.21070092497491,53.21070092497491,375.87721799667526,347.2299363638737,92.3785533516812,39.1678524267063
S2,2030,baseline,华北,375.87721799667526,179.63911755980843,48.6031,228.2422175598084,147.63500043686685,60.722546254938834,60.722546254938834,375.87721799667526,347.2299363638737,92.3785533516812,31.65600709674237
S2,2035,baseline,华北,375.87721799667526,183.10381952676425,79.6044,262.70821952676425,113.168998469911,69.89203041539164,69.89203041539164,375.87721799667526,347.2299363638737,92.3785533516812,22.48652293628956
S2,2040,baseline,华北,375.87721799667526,186.02502376465435,116.6818,302.70682376465436,73.17039423202093,80.53343200154576,80.53343200154576,375.87721799667526,347.2299363638737,92.3785533516812,11.845121350135443
S2,2045,baseline,华北,375.87721799667526,188.14573302771527,146.5294,334.6751330277153,41.20208496895998,89.03841919748261,89.03841919748261,375.87721799667526,347.2299363638737,92.3785533516812,3.3401341541985943
S2,2050,baseline,华北,375.87721799667526,188.97991769110502,157.5842,346.56407820825467,29.313139788420585,92.2014055694432,92.2014055694432,375.87721799667526,347.2299363638737,92.3785533516812,0.1771477822380092
S2,2055,baseline,华北,375.87721799667526,189.50549254581944,157.5337,347.03919254581945,28.838025450855824,92.327807041737,92.327807041737,375.87721799667526,347.2299363638737,92.3785533516812,0.05074630994420204
S2,2060,baseline,华北,375.87721799667526,189.72735616025017,157.5026,347.2299363638737,28.64728163280153,92.3785533516812,92.3785533516812,375.87721799667526,347.2299363638737,92.3785533516812,0.0
S2,2025,baseline,华南,536.2690924811086,25.89045069638286,2.9913,28.88175069638286,507.3873417847258,5.385682505541803,5.385682505541803,536.2690924811086,481.5649431286553,89.79912321641389,84.41344071087208
S2,2030,baseline,华南,536.2690924811086,44.50201285851917,5.3253,49.82731285851917,486.4417796225895,9.291475782799186,9.291475782799186,536.2690924811086,481.5649431286553,89.79912321641389,80.50764743361471
S2,2035,baseline,华南,536.2690924811086,69.05677678374576,8.2881,77.34487678374576,458.9242156973629,14.422773541898728,14.422773541898728,536.2690924811086,481.5649431286553,89.79912321641389,75.37634967451515
S2,2040,baseline,华南,536.2690924811086,96.06020611333722,10.9495,107.00970611333722,429.2593863677714,19.954479498015615,19.954479498015615,536.2690924811086,481.5649431286553,89.79912321641389,69.84464371839827
S2,2045,baseline,华南,536.2690924811086,117.35174323583628,12.9254,130.27714323583626,405.9919492452724,24.2932410355955,24.2932410355955,536.2690924811086,481.5649431286553,89.79912321641389,65.50588218081839
S2,2050,baseline,华南,536.2690924811086,128.05173869612466,13.7629,141.81463869612466,394.454453784984,26.444678741413842,26.444678741413842,536.2690924811086,481.5649431286553,89.79912321641389,63.35444447500005
S2,2055,baseline,华南,536.2690924811086,135.62861421626997,14.3122,149.94081421626998,386.3282782648387,27.959995516905913,27.959995516905913,536.2690924811086,481.5649431286553,89.79912321641389,61.839127699507976
S2,2060,baseline,华南,536.2690924811086,140.13194312865522,14.5779,154.70984312865522,381.55924935245343,28.849293255532015,28.849293255532015,536.2690924811086,481.5649431286553,89.79912321641389,60.94982996088187
S2,2025,baseline,西北,85.33857904658572,39.56713131735002,45.7714,85.33853131735002,4.7729235703286577e-05,99.99994407074007,99.99994407074007,85.33857904658572,85.33857904658572,100.0,5.592925992914388e-05
S2,2030,baseline,西北,85.33857904658572,68.37000646235305,16.9686,85.33857904658572,0.0,100.0,100.0,85.33857904658572,85.33857904658572,100.0,0.0
S2,2035,baseline,西北,85.33857904658572,85.33857904658572,0.0,85.33857904658572,0.0,100.0,100.0,85.33857904658572,85.33857904658572,100.0,0.0
S2,2040,baseline,西北,85.33857904658572,85.33857904658572,0.0,85.33857904658572,0.0,100.0,100.0,85.33857904658572,85.33857904658572,100.0,0.0
S2,2045,baseline,西北,85.33857904658572,85.33857904658572,0.0,85.33857904658572,0.0,100.0,100.0,85.33857904658572,85.33857904658572,100.0,0.0
S2,2050,baseline,西北,85.33857904658572,85.33857904658572,0.0,85.33857904658572,0.0,100.0,100.0,85.33857904658572,85.33857904658572,100.0,0.0
S2,2055,baseline,西北,85.33857904658572,85.33857904658572,0.0,85.33857904658572,0.0,100.0,100.0,85.33857904658572,85.33857904658572,100.0,0.0
S2,2060,baseline,西北,85.33857904658572,85.33857904658572,0.0,85.33857904658572,0.0,100.0,100.0,85.33857904658572,85.33857904658572,100.0,0.0
S2,2025,baseline,西南,355.726443351488,75.13797313992757,40.2435,115.38144979360582,240.3449935578822,32.43544356909085,32.43544356909085,355.726443351488,286.8250161422916,80.63078286785783,48.19533929876698
S2,2030,baseline,西南,355.726443351488,136.33857025983406,35.8899,172.22844500983967,183.4979983416483,48.4159803772764,48.4159803772764,355.726443351488,286.8250161422916,80.63078286785783,32.214802490581434
S2,2035,baseline,西南,355.726443351488,211.98844048597985,30.3163,242.30474048597983,113.42170286550815,68.11547047306858,68.11547047306858,355.726443351488,286.8250161422916,80.63078286785783,12.515312394789248
S2,2040,baseline,西南,355.726443351488,252.87182266107374,25.059,277.93082247735805,77.79562087412995,78.13049259392244,78.13049259392244,355.726443351488,286.8250161422916,80.63078286785783,2.5002902739353914
S2,2045,baseline,西南,355.726443351488,263.1146203455889,21.0928,284.2074203455889,71.51902300589913,79.89493771335064,79.89493771335064,355.726443351488,286.8250161422916,80.63078286785783,0.7358451545071887
S2,2050,baseline,西南,355.726443351488,266.6543738334922,19.3268,285.98117383349216,69.74526951799584,80.39356623002536,80.39356623002536,355.726443351488,286.8250161422916,80.63078286785783,0.23721663783247493
S2,2055,baseline,西南,355.726443351488,268.70878011915374,18.1401,286.84888011915376,68.87756323233424,80.63749138708889,80.63749138708889,355.726443351488,286.8250161422916,80.63078286785783,-0.006708519231054311
S2,2060,baseline,西南,355.726443351488,269.3014161422916,17.5236,286.8250161422916,68.90142720919641,80.63078286785783,80.63078286785783,355.726443351488,286.8250161422916,80.63078286785783,0.0
S3,2025,baseline,东北,86.35103429088183,33.350946202085005,0.0,33.350946202085005,53.00008808879682,38.62252082556314,38.62252082556314,86.35103429088183,86.35103429088183,100.0,61.37747917443686
S3,2030,baseline,东北,86.35103429088183,56.40703474338251,0.0,56.40703474338251,29.943999547499317,65.3229404912163,65.3229404912163,86.35103429088183,86.35103429088183,100.0,34.6770595087837
S3,2035,baseline,东北,86.35103429088183,86.35103429088183,0.0,86.35103429088183,0.0,100.0,100.0,86.35103429088183,86.35103429088183,100.0,0.0
S3,2040,baseline,东北,86.35103429088183,86.35103429088183,0.0,86.35103429088183,0.0,100.0,100.0,86.35103429088183,86.35103429088183,100.0,0.0
S3,2045,baseline,东北,86.35103429088183,86.35103429088183,0.0,86.35103429088183,0.0,100.0,100.0,86.35103429088183,86.35103429088183,100.0,0.0
S3,2050,baseline,东北,86.35103429088183,86.35103429088183,0.0,86.35103429088183,0.0,100.0,100.0,86.35103429088183,86.35103429088183,100.0,0.0
S3,2055,baseline,东北,86.35103429088183,86.35103429088183,0.0,86.35103429088183,0.0,100.0,100.0,86.35103429088183,86.35103429088183,100.0,0.0
S3,2060,baseline,东北,86.35103429088183,86.35103429088183,0.0,86.35103429088183,0.0,100.0,100.0,86.35103429088183,86.35103429088183,100.0,0.0
S3,2025,baseline,华东,165.94979940426026,48.17450871154384,7.8021,55.97660871154383,109.97319069271643,33.73104933690375,33.73104933690375,165.94979940426026,114.88721402661068,69.23010117459731,35.49905183769356
S3,2030,baseline,华东,165.94979940426026,48.72920720241542,16.2625,64.99170720241541,100.95809220184485,39.163474397515266,39.163474397515266,165.94979940426026,114.88721402661068,69.23010117459731,30.066626777082043
S3,2035,baseline,华东,165.94979940426026,49.48777920884394,27.5499,77.03767920884394,88.91212019541632,46.422279198528656,46.422279198528656,165.94979940426026,114.88721402661068,69.23010117459731,22.807821976068652
S3,2040,baseline,华东,165.94979940426026,50.45895667937819,40.6044,91.06335667937819,74.88644272488207,54.87403841781349,54.87403841781349,165.94979940426026,114.88721402661068,69.23010117459731,14.356062756783821
S3,2045,baseline,华东,165.94979940426026,51.252835303186515,51.0293,102.28213530318652,63.66766410107374,61.634383211288615,61.634383211288615,165.94979940426026,114.88721402661068,69.23010117459731,7.595717963308694
S3,2050,baseline,华东,165.94979940426026,51.68747192737169,56.4354,108.12287192737169,57.82692747688857,65.15396361762397,65.15396361762397,165.94979940426026,114.88721402661068,69.23010117459731,4.076137556973336
