node_id,node_name,province,longitude,latitude,weak_component_2025,weak_component_size_2025,active_indegree_2025,active_outdegree_2025
N129,辽河,辽宁省,122.1637099,40.71960167,1,65,1,1
N130,辽阳,辽宁省,123.2315378,41.26650675,1,65,1,1
N131,邢台,河北省,114.4967119,37.07003791,1,65,1,1
N132,邯郸,河北省,114.5356201,36.62685489,1,65,2,2
N133,郑州,河南省,113.6193176,34.74752068,1,65,4,2
N134,郴州,湖南省,113.0099272,25.77315809,23,2,1,0
N135,鄂尔多斯,内蒙古自治区,109.7767426,39.60774057,9,3,1,0
N136,酒泉,甘肃省,98.49115772,39.73039911,1,65,1,1
N137,重庆,重庆市,106.5467371,29.56659842,1,65,2,0
N138,钦州,广西壮族自治区,108.6506176,21.98377513,2,19,0,1
N139,银川,宁夏回族自治区,106.2305529,38.4866953,17,2,0,1
N140,锦州,辽宁省,121.1213238,41.09367767,1,65,1,1
N141,长坡,云南省,102.7432509,25.08100417,2,19,1,2
N142,长岭,湖南省,113.260805,29.47623236,1,65,0,1
N143,长春,吉林省,125.3184929,43.81369331,15,2,1,0
N144,长沙,湖南省,112.9334488,28.23178771,1,65,2,1
N145,阜阳,安徽省,115.8074841,32.89327954,12,2,0,1
N146,阳泉,山西省,113.5899658,37.84854586,1,65,1,1
N147,青岛,山东省,120.3775345,36.06661649,1,65,0,1
N148,驻马店,河南省,114.0197418,33.00970244,1,65,1,1
N149,高庄,河北省,114.5089353,38.04183339,1,65,1,1
N150,黄埔,广东省,113.2578297,23.1332448,5,5,0,2
N151,黎塘,广西壮族自治区,108.3621636,22.82027814,2,19,1,0
N152,齐鲁,山东省,118.050415,36.81483572,1,65,0,1
N153,龙游,浙江省,118.8550477,28.97458612,3,11,1,1
