candidate_id,from_node_id,to_node_id,distance_km,capacity_10kt,candidate_types,from_name,to_name,from_province,to_province,from_component,to_component
C0690,N124,N017,415.992,364.35,closest_component_bridge_le_800km,襄阳,六安,湖北省,安徽省,10,4
C0691,N021,N128,419.078,364.35,closest_component_bridge_le_800km,北沙,赣州,广东省,江西省,13,3
C0692,N128,N021,419.078,364.35,closest_component_bridge_le_800km,赣州,北沙,江西省,广东省,3,13
C0693,N026,N123,424.294,364.35,closest_component_bridge_le_800km,南沙,衡阳,广东省,湖南省,5,1
C0694,N115,N123,424.294,364.35,closest_component_bridge_le_800km,花都,衡阳,广东省,湖南省,11,1
C0695,N123,N026,424.294,364.35,closest_component_bridge_le_800km,衡阳,南沙,湖南省,广东省,1,5
C0696,N123,N115,424.294,364.35,closest_component_bridge_le_800km,衡阳,花都,湖南省,广东省,1,11
C0697,N004,N078,424.655,364.35,closest_component_bridge_le_800km,上饶,武汉,江西省,湖北省,24,1
C0698,N078,N004,424.655,364.35,closest_component_bridge_le_800km,武汉,上饶,湖北省,江西省,1,24
C0699,N133,N033,452.489,364.35,reverse_existing_direction,郑州,咸阳,河南省,陕西省,1,1
C0700,N076,N153,453.132,364.35,reverse_existing_direction,樟树,龙游,江西省,浙江省,3,3
C0701,N050,N054,458.61,364.35,closest_component_bridge_le_800km,广水,徐州(新沂,湖北省,江苏省,18,8
C0702,N054,N050,458.61,364.35,closest_component_bridge_le_800km,徐州(新沂,广水,江苏省,湖北省,8,18
C0703,N075,N123,458.97,364.35,closest_component_bridge_le_800km,梅州,衡阳,广东省,湖南省,26,1
C0704,N123,N075,458.97,364.35,closest_component_bridge_le_800km,衡阳,梅州,湖南省,广东省,1,26
C0705,N019,N111,459.612,364.35,closest_component_bridge_le_800km,兴闽,绍兴,福建省,浙江省,6,22
C0706,N019,N126,459.612,364.35,closest_component_bridge_le_800km,兴闽,诸暨,福建省,浙江省,6,21
C0707,N111,N019,459.612,364.35,closest_component_bridge_le_800km,绍兴,兴闽,浙江省,福建省,22,6
C0708,N126,N019,459.612,364.35,closest_component_bridge_le_800km,诸暨,兴闽,浙江省,福建省,21,6
C0709,N005,N039,463.372,364.35,closest_component_bridge_le_800km,东孚,大鹏湾,福建省,广东省,6,16
C0710,N039,N005,463.372,364.35,closest_component_bridge_le_800km,大鹏湾,东孚,广东省,福建省,16,6
C0711,N078,N133,465.891,364.35,reverse_existing_direction,武汉,郑州,湖北省,河南省,1,1
C0712,N033,N018,482.784,364.35,reverse_existing_direction,咸阳,兰州,陕西省,甘肃省,1,1
C0713,N046,N074,486.43,364.35,closest_component_bridge_le_800km,宿州,桐庐,安徽省,浙江省,1,21
C0714,N046,N120,486.43,364.35,closest_component_bridge_le_800km,宿州,萧山,安徽省,浙江省,1,22
C0715,N074,N046,486.43,364.35,closest_component_bridge_le_800km,桐庐,宿州,浙江省,安徽省,21,1
C0716,N120,N046,486.43,364.35,closest_component_bridge_le_800km,萧山,宿州,浙江省,安徽省,22,1
C0717,N034,N009,490.079,364.35,reverse_existing_direction,哈密,乌鲁木齐,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0718,N004,N075,497.654,364.35,closest_component_bridge_le_800km,上饶,梅州,江西省,广东省,24,26
C0719,N075,N004,497.654,364.35,closest_component_bridge_le_800km,梅州,上饶,广东省,江西省,26,24
C0720,N039,N123,506.466,364.35,closest_component_bridge_le_800km,大鹏湾,衡阳,广东省,湖南省,16,1
C0721,N123,N039,506.466,364.35,closest_component_bridge_le_800km,衡阳,大鹏湾,湖南省,广东省,1,16
C0722,N028,N032,506.973,364.35,closest_component_bridge_le_800km,南疆(天津,呼和浩特,天津市,内蒙古自治区,14,9
C0723,N032,N028,506.973,364.35,closest_component_bridge_le_800km,呼和浩特,南疆(天津,内蒙古自治区,天津市,9,14
C0724,N074,N145,509.767,364.35,closest_component_bridge_le_800km,桐庐,阜阳,浙江省,安徽省,21,12
C0725,N120,N145,509.767,364.35,closest_component_bridge_le_800km,萧山,阜阳,浙江省,安徽省,22,12
C0726,N145,N074,509.767,364.35,closest_component_bridge_le_800km,阜阳,桐庐,安徽省,浙江省,12,21
C0727,N145,N120,509.767,364.35,closest_component_bridge_le_800km,阜阳,萧山,安徽省,浙江省,12,22
C0728,N109,N127,510.498,364.35,reverse_existing_direction,简阳,贵阳,四川省,贵州省,2,2
C0729,N022,N050,512.825,364.35,closest_component_bridge_le_800km,南京(南京,广水,江苏省,湖北省,7,18
C0730,N050,N022,512.825,364.35,closest_component_bridge_le_800km,广水,南京(南京,湖北省,江苏省,18,7
C0731,N005,N115,513.019,364.35,closest_component_bridge_le_800km,东孚,花都,福建省,广东省,6,11
C0732,N115,N005,513.019,364.35,closest_component_bridge_le_800km,花都,东孚,广东省,福建省,11,6
C0733,N005,N021,521.406,364.35,closest_component_bridge_le_800km,东孚,北沙,福建省,广东省,6,13
