scenario,tier,year,pipeline_delivery_10kt,pipeline_tonne_km,average_pipeline_distance_km,unit_saving_vs_rail_cny_t,unit_saving_vs_road_cny_t,annual_cost_saving_vs_rail_100m_cny,annual_cost_saving_vs_road_100m_cny,annual_emission_saving_vs_rail_10kt_co2e,annual_emission_saving_vs_road_10kt_co2e,scope
S1,high,2025,4.1434,7844983.452142798,189.33685987698024,59.641110861248784,112.65543162680326,0.02471169787424982,0.04667765154024966,0.03265866611127047,0.07525692625640587,transport operation only; identical delivered task
S4,mid,2050,77.2113,120885362.58398569,156.56434043201668,49.31776723608526,93.15578255704993,0.38078889213955497,0.7192679073747149,0.5032457644371324,1.1596532832681747,transport operation only; identical delivered task
S4,mid,2055,104.0938,155496904.5698309,149.38152375053164,47.055179981417474,88.88200663156634,0.4898152493949674,0.9252065821904939,0.6473336137242061,1.4916818055383878,transport operation only; identical delivered task
S4,mid,2060,127.5507,206498936.4618094,161.8955728677376,50.997105453337355,96.32786585630389,0.6504716498546997,1.2286686719477662,0.8596550724905127,1.9809442974781375,transport operation only; identical delivered task
S5,high,2025,4.9117,18279263.402302623,372.1575707454165,117.22963478480621,221.43375459352285,0.05757967971725327,0.10876161724370062,0.07609657354378582,0.17535297381828907,transport operation only; identical delivered task
S5,high,2030,245.8638,1341833214.684229,545.7628226213981,171.91528912574043,324.7288794597319,4.226774626255321,7.983907627371163,5.586051672730445,12.872206028465808,transport operation only; identical delivered task
S5,high,2035,455.7988,3329636999.706959,730.5058722635862,230.10934976302968,434.65099399683385,10.488356549076922,19.811340148256406,13.861278829780069,31.941207738188854,transport operation only; identical delivered task
S5,high,2040,681.2687,6789498588.29845,996.5962898777606,313.92783131149463,592.9747924772677,21.386920553140122,40.39751660037579,28.26468262308645,65.13165995754704,transport operation only; identical delivered task
S5,high,2045,908.5364,11770437130.393875,1295.5383108914375,408.0945679308029,770.8452949804055,37.07687696074071,70.03410092584356,49.000329773829705,112.91380339186846,transport operation only; identical delivered task
S5,high,2050,1128.9519,18450319269.281887,1634.2874545214804,514.8005481742664,972.401035440281,58.11850569823795,109.77939965222726,76.80867911802049,176.99391275022117,transport operation only; identical delivered task
S5,high,2055,1251.459,22471170773.74113,1795.5978401003254,565.6133196316026,1068.3807148596936,70.78418793728457,133.70346610375975,93.54748393108434,215.5659412324987,transport operation only; identical delivered task
S5,high,2060,1278.464,22826941620.976227,1785.497411032006,562.431684475082,1062.3709595640437,71.90486610607512,135.82030264480855,95.02855796812403,218.97885097002495,transport operation only; identical delivered task
S5,low,2025,0.9604,2368553.5803127927,246.62157229412665,77.68579527264991,146.73983551500538,0.007460943777985298,0.014092893802861117,0.009860288554842157,0.022721534495940623,transport operation only; identical delivered task
S5,low,2030,12.522,38098334.03363745,304.25119017439266,95.83912490493371,181.02945815376367,0.120009752205958,0.22668508750014285,0.1586033645820327,0.3654773183846841,transport operation only; identical delivered task
S5,low,2035,19.0987,65995989.284752086,345.5522589744437,108.84896157694979,205.60359408979403,0.2078873662469691,0.392676136244275,0.274741303392423,0.6330995252086269,transport operation only; identical delivered task
S5,low,2040,53.906,135617541.3789692,251.5815333709961,79.24818301186379,149.6910123557427,0.427195255343753,0.8069243712048668,0.5645758247606488,1.3009790744484515,transport operation only; identical delivered task
S5,low,2045,108.1644,249194532.9660941,230.38498153375244,72.57126918313203,137.07906401258273,0.7849627788431967,1.4827074711482602,1.0373968407378498,2.390523154743741,transport operation only; identical delivered task
S5,low,2050,185.5588,613843659.3632237,330.8081639691697,104.20457165028847,196.830857561656,1.933607526994155,3.652369773211181,2.5554311539291006,5.888602224271405,transport operation only; identical delivered task
S5,low,2055,307.3595,1357067556.7424664,441.52451990013856,139.08022376854368,262.70708934058246,4.27476280373877,8.074551962617676,5.6494722387188885,13.018349071830482,transport operation only; identical delivered task
S5,low,2060,459.6148,2275330284.9893017,495.0515703561551,155.9412446621889,294.5556843619123,7.167290397716302,13.538215195686348,9.472199976410463,21.82724342390237,transport operation only; identical delivered task
S5,mid,2025,5.1481,13998792.240382344,271.92152911525307,85.65528167130473,161.79330982357558,0.04409619555720439,0.08329281383027495,0.0582769720967117,0.13429041396198782,transport operation only; identical delivered task
S5,mid,2030,82.699,363001212.2384309,438.9426864151089,138.26694622075934,261.1708984169898,1.1434538185510577,2.159857212818664,1.511174046548588,3.4822706290032674,transport operation only; identical delivered task
S5,mid,2035,207.3252,1052284687.096413,507.55271770938265,159.87910607845555,301.99386703708274,3.3146967643537013,6.261093888223659,4.380661152382368,10.094567003315891,transport operation only; identical delivered task
