城市代码,城市,省份,城市经度_WGS84,城市纬度_WGS84,最近节点ID,最近管网节点,节点匹配城市,节点匹配省份,节点经度_WGS84,节点纬度_WGS84,最近距离_km,节点坐标来源,节点匹配置信度,节点涉及管道,第二近节点,第二近距离_km,第三近节点,第三近距离_km
210100000000,沈阳市,辽宁省,123.4586,41.67423997,N058,抚顺,抚顺市,辽宁省,123.9514419,41.87872444,46.76757254596545,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽阳,49.12666820990968,辽河,151.67366110614296
210200000000,大连市,辽宁省,121.6103413,38.91259032,N129,辽河,盘锦市,辽宁省,122.1637099,40.71960167,206.4131148654084,别名映射至地级市,中,抚顺-锦州-郑州成品油管道,锦州,246.07569365562077,辽阳,295.83939635979095
210300000000,鞍山市,辽宁省,122.985304,41.10196197,N130,辽阳,辽阳市,辽宁省,123.2315378,41.26650675,27.55673136954409,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽河,81.08196146342945,抚顺,118.0487945774543
210400000000,抚顺市,辽宁省,123.9514419,41.87872444,N058,抚顺,抚顺市,辽宁省,123.9514419,41.87872444,0.0,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽阳,90.66720168778703,辽河,197.26243755240074
210500000000,本溪市,辽宁省,123.6765643,41.48400018,N130,辽阳,辽阳市,辽宁省,123.2315378,41.26650675,44.31411886117166,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,抚顺,49.472701539152936,辽河,152.61743090399546
210600000000,丹东市,辽宁省,124.3486818,39.99916441,N130,辽阳,辽阳市,辽宁省,123.2315378,41.26650675,169.54297821619755,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽河,201.71441608527502,抚顺,211.6438924068143
210700000000,锦州市,辽宁省,121.1213238,41.09367767,N140,锦州,锦州市,辽宁省,121.1213238,41.09367767,0.0,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽河,96.97372460332257,辽阳,177.64242001639255
210800000000,营口市,辽宁省,122.2211215,40.64961906,N129,辽河,盘锦市,辽宁省,122.1637099,40.71960167,9.164611382198405,别名映射至地级市,中,抚顺-锦州-郑州成品油管道,锦州,104.83026909421011,辽阳,109.10610850383598
210900000000,阜新市,辽宁省,121.6646498,42.01993072,N140,锦州,锦州市,辽宁省,121.1213238,41.09367767,112.47926420046717,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽河,150.46727868167505,辽阳,154.8218221935403
211000000000,辽阳市,辽宁省,123.2315378,41.26650675,N130,辽阳,辽阳市,辽宁省,123.2315378,41.26650675,0.0,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,抚顺,90.66720168778703,辽河,108.30495413237989
211100000000,盘锦市,辽宁省,122.1637099,40.71960167,N129,辽河,盘锦市,辽宁省,122.1637099,40.71960167,0.0,别名映射至地级市,中,抚顺-锦州-郑州成品油管道,锦州,96.97372460332257,辽阳,108.30495413237989
211200000000,铁岭市,辽宁省,123.7229262,42.22117081,N058,抚顺,抚顺市,辽宁省,123.9514419,41.87872444,42.496724229803334,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽阳,113.71276737586088,辽河,211.54489930789904
211300000000,朝阳市,辽宁省,120.4660176,41.5655348,N140,锦州,锦州市,辽宁省,121.1213238,41.09367767,75.80786098036444,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽河,170.4584021941926,辽阳,232.9856609372666
211400000000,葫芦岛市,辽宁省,120.8308149,40.70687077,N140,锦州,锦州市,辽宁省,121.1213238,41.09367767,49.458049655794,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽河,112.34963584619943,辽阳,210.89053968279285
220100000000,长春市,吉林省,125.3184929,43.81369331,N143,长春,长春市,吉林省,125.3184929,43.81369331,0.0,直接匹配城市名,高,吉林石化-长春成品油管道,吉林,98.79246594876425,抚顺,242.30169036155962
220200000000,吉林市,吉林省,126.549541,43.83796639,N031,吉林,吉林市,吉林省,126.549541,43.83796639,0.0,直接匹配城市名,高,吉林石化-长春成品油管道,长春,98.79246594876425,抚顺,303.7928487122766
220300000000,四平市,吉林省,124.3424961,43.17434965,N143,长春,长春市,吉林省,125.3184929,43.81369331,106.07604354148097,直接匹配城市名,高,吉林石化-长春成品油管道,抚顺,147.58763760262667,吉林,192.67887765858544
220400000000,辽源市,吉林省,125.1368457,42.88681576,N143,长春,长春市,吉林省,125.3184929,43.81369331,104.10543866608494,直接匹配城市名,高,吉林石化-长春成品油管道,抚顺,148.47170971797607,吉林,155.650748143498
220500000000,通化市,吉林省,125.9335327,41.72603169,N058,抚顺,抚顺市,辽宁省,123.9514419,41.87872444,165.1670690521409,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,辽阳,230.7528838692401,长春,237.50226515021936
220600000000,白山市,吉林省,126.4056492,41.94028811,N058,抚顺,抚顺市,辽宁省,123.9514419,41.87872444,203.19762035709118,直接匹配城市名,高,抚顺-锦州-郑州成品油管道,吉林,211.33776094234358,长春,226.36171258759433
220700000000,松原市,吉林省,124.8190204,45.13990907,N143,长春,长春市,吉林省,125.3184929,43.81369331,152.6996376215147,直接匹配城市名,高,吉林石化-长春成品油管道,吉林,199.49536813292988,抚顺,369.30907999143335
220800000000,白城市,吉林省,122.8381445,45.61711874,N143,长春,长春市,吉林省,125.3184929,43.81369331,280.3729228999344,直接匹配城市名,高,吉林石化-长春成品油管道,吉林,353.6407078571153,抚顺,425.1887278763554
222400000000,延边朝鲜族自治州,吉林省,129.4636408,42.90659817,N031,吉林,吉林市,吉林省,126.549541,43.83796639,257.2847301867631,直接匹配城市名,高,吉林石化-长春成品油管道,长春,349.9181144195508,抚顺,466.78239924439885
230100000000,哈尔滨市,黑龙江省,126.5305824,45.80141249,N031,吉林,吉林市,吉林省,126.549541,43.83796639,218.33066545074846,直接匹配城市名,高,吉林石化-长春成品油管道,长春,240.81463915675084,抚顺,482.677860926182
230200000000,齐齐哈尔市,黑龙江省,123.9115921,47.35218228,N143,长春,长春市,吉林省,125.3184929,43.81369331,408.3926884698894,直接匹配城市名,高,吉林石化-长春成品油管道,吉林,441.3214257525778,抚顺,608.6297327101579
230300000000,鸡西市,黑龙江省,130.9619898,45.29118393,N031,吉林,吉林市,吉林省,126.549541,43.83796639,385.0332959193024,直接匹配城市名,高,吉林石化-长春成品油管道,长春,476.2777914089576,抚顺,679.914468117774
230400000000,鹤岗市,黑龙江省,130.2894622,47.34685746,N031,吉林,吉林市,吉林省,126.549541,43.83796639,486.61203547353557,直接匹配城市名,高,吉林石化-长春成品油管道,长春,551.1573012248073,抚顺,787.7318326629961
230500000000,双鸭山市,黑龙江省,131.149264,46.64113856,N031,吉林,吉林市,吉林省,126.549541,43.83796639,476.1529191832208,直接匹配城市名,高,吉林石化-长春成品油管道,长春,554.1628461670816,抚顺,779.7787558675361
230600000000,大庆市,黑龙江省,125.0967348,46.58720422,N143,长春,长春市,吉林省,125.3184929,43.81369331,308.88944086168937,直接匹配城市名,高,吉林石化-长春成品油管道,吉林,326.18199114362466,抚顺,531.434775536771
230700000000,伊春市,黑龙江省,128.8301479,47.72625488,N031,吉林,吉林市,吉林省,126.549541,43.83796639,467.07443544280835,直接匹配城市名,高,吉林石化-长春成品油管道,长春,513.1579770567748,抚顺,755.2409456871785
