管道名称,管段数,管段ID列表,起止节点列表,设计输量最小值_万吨年,设计输量最大值_万吨年,设计输量中位数_万吨年,长度合计_km,投产年份最早,投产年份最晚,油品,管输折算系数,年份,管道瓶颈占用率,管道瓶颈占用率_%,管道平均占用率,管道平均占用率_%,瓶颈管段ID,瓶颈管段,瓶颈管段任务_万吨年,瓶颈管段设计输量_万吨年,管道代表任务_万吨年,代表任务管段ID,代表任务管段,超设计管段数,高负荷管段数,管道负荷等级
荆门-襄阳成品油管道,1,S070,荆门→襄阳,350.0,350.0,350.0,128.75,2019.0,2019.0,0#车用柴油,0.2192948931298923,2025,0.3879948041218936,38.79948041218936,0.3879948041218936,38.79948041218936,S070,荆门→襄阳,135.79818144266275,350.0,135.79818144266275,S070,荆门→襄阳,0,0,低负荷
苏北成品油管道,3,S095；S097；S096,南京(扬子→泰州(泰州；南京(扬子→盐城(盐城；南京(扬子→徐州(新沂,545.0,545.0,545.0,1827.81,2015.0,2015.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2025,0.3011829016173766,30.11829016173766,0.1600666023648011,16.006660236480112,S095,南京(扬子→泰州(泰州,164.14468138147026,545.0,164.14468138147026,S095,南京(扬子→泰州(泰州,0,0,低负荷
福建成品油管道（北线）,1,S107,泉港→兴闽,220.0,220.0,220.0,148.96,2010.0,2010.0,0#柴油、95#汽油、92#汽油、航煤,0.2192948931298923,2025,0.2963094182081104,29.630941820811042,0.2963094182081104,29.630941820811042,S107,泉港→兴闽,65.1880720057843,220.0,65.1880720057843,S107,泉港→兴闽,0,0,低负荷
合六支线,1,S091,合肥→六安,140.0,140.0,140.0,99.99,2019.0,2019.0,92#汽油、95#汽油、0#车用柴油,0.2192948931298923,2025,0.2044452876700154,20.44452876700154,0.2044452876700154,20.44452876700154,S091,合肥→六安,28.62234027380216,140.0,28.62234027380216,S091,合肥→六安,0,0,低负荷
鲁皖二期管道（西线）,3,S121；S122；S123,济南→聊城；聊城→濮阳；濮阳→汤阴,820.0,820.0,820.0,1066.71,2009.0,2009.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2025,0.1952822566850156,19.52822566850156,0.1539426291094,15.394262910939998,S121,济南→聊城,160.13145048171282,820.0,160.13145048171282,S121,济南→聊城,0,0,低负荷
石太管道,4,S129；S130；S131；S132,石家庄→高庄；高庄→阳泉；阳泉→晋中；晋中→太原,820.0,820.0,820.0,1288.08,2007.0,2007.0,0#车柴、0#普柴、92#组分汽油、95#组分汽油、92#清洁汽油、95#清洁汽油,0.2192948931298923,2025,0.1121772280655842,11.21772280655842,0.10215939795989247,10.215939795989247,S129,石家庄→高庄,91.98532701377913,820.0,91.98532701377913,S129,石家庄→高庄,0,0,低负荷
福建成品油管道（南线）,2,S108；S109,泉港→东孚；泉港→石湖山,380.0,380.0,380.0,351.22,2013.0,2013.0,0#柴油、95#汽油、92#汽油、航煤,0.2192948931298923,2025,0.1103568444481189,11.03568444481189,0.05517842222405945,5.517842222405945,S108,泉港→东孚,41.93560089028521,380.0,41.93560089028521,S108,泉港→东孚,0,0,低负荷
鲁皖二期管道（汤郑支线）,2,S124；S125,汤阴→新乡；新乡→郑州,820.0,820.0,820.0,409.38,2010.0,2010.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2025,0.1080045415944538,10.80045415944538,0.0540022707972269,5.40022707972269,S124,汤阴→新乡,88.56372410745215,820.0,88.56372410745215,S124,汤阴→新乡,0,0,低负荷
鲁皖二期管道（汤石支线）,3,S126；S127；S128,汤阴→邯郸；邯郸→邢台；邢台→石家庄,820.0,820.0,820.0,936.51,2009.0,2009.0,0#普柴、 0#车柴、 92#清洁汽油、 92#组分汽油、95#清洁汽油,0.2192948931298923,2025,0.1032507369957293,10.32507369957293,0.07318988518457516,7.318988518457516,S126,汤阴→邯郸,84.66560433649802,820.0,84.66560433649802,S126,汤阴→邯郸,0,0,低负荷
呼和浩特-包头-鄂尔多斯成品油管道,2,S024；S025,呼和浩特→包头；包头→鄂尔多斯,200.0,200.0,200.0,555.56,2014.0,2014.0,92#汽油、95 #汽油、0 #柴油、+5#柴油,0.2192948931298923,2025,0.0948706443656686,9.48706443656686,0.07572380924742245,7.5723809247422444,S024,呼和浩特→包头,18.974128873133733,200.0,18.974128873133733,S024,呼和浩特→包头,0,0,低负荷
兰成渝成品油管道,2,S034；S035,兰州→成都；成都→重庆,350.0,700.0,525.0,2500.0,2002.0,2002.0,0#柴油、92#车用汽油,0.2192948931298923,2025,0.089713919848768,8.971391984876801,0.044856959924384,4.485695992438401,S034,兰州→成都,62.79974389413765,700.0,62.79974389413765,S034,兰州→成都,0,0,低负荷
湘株支线,1,S080,湘潭→株洲,350.0,350.0,350.0,22.99,2008.0,2008.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2025,0.0896258575124723,8.96258575124723,0.0896258575124723,8.96258575124723,S080,湘潭→株洲,31.36905012936533,350.0,31.36905012936533,S080,湘潭→株洲,0,0,低负荷
驻信管道,1,S138,驻马店→信阳,820.0,820.0,820.0,109.98,2013.0,2013.0,0#车柴、92#组分汽油、95#组分汽油,0.2192948931298923,2025,0.0697538141228603,6.97538141228603,0.0697538141228603,6.97538141228603,S138,驻马店→信阳,57.1981275807455,820.0,57.1981275807455,S138,驻马店→信阳,0,0,低负荷
