管段ID,管道名称,起点节点,终点节点,起点节点ID,终点节点ID,起点经度_WGS84,起点纬度_WGS84,终点经度_WGS84,终点纬度_WGS84,设计输量_万吨年,投产年份,管段方向,坐标说明
S025,呼和浩特-包头-鄂尔多斯成品油管道,包头,鄂尔多斯,N020,N135,109.9479759,40.62075692,109.7767426,39.60774057,200.0,2014,包头 → 鄂尔多斯,节点坐标为城市点位或别名映射后的地级市点位
S026,抚顺-锦州-郑州成品油管道,抚顺,辽阳,N058,N130,123.9514419,41.87872444,123.2315378,41.26650675,600.0,2018,抚顺 → 辽阳,节点坐标为城市点位或别名映射后的地级市点位
S027,抚顺-锦州-郑州成品油管道,辽阳,辽河,N130,N129,123.2315378,41.26650675,122.1637099,40.71960167,600.0,2018,辽阳 → 辽河,节点坐标为城市点位或别名映射后的地级市点位
S028,抚顺-锦州-郑州成品油管道,辽河,锦州,N129,N140,122.1637099,40.71960167,121.1213238,41.09367767,750.0,2018,辽河 → 锦州,节点坐标为城市点位或别名映射后的地级市点位
S029,抚顺-锦州-郑州成品油管道,锦州,固安,N140,N036,121.1213238,41.09367767,116.6776883,39.53722851,1300.0,2018,锦州 → 固安,节点坐标为城市点位或别名映射后的地级市点位
S030,抚顺-锦州-郑州成品油管道,固安,保定,N036,N012,116.6776883,39.53722851,115.4554531,38.87308485,800.0,2018,固安 → 保定,节点坐标为城市点位或别名映射后的地级市点位
S031,抚顺-锦州-郑州成品油管道,保定,邯郸,N012,N132,115.4554531,38.87308485,114.5356201,36.62685489,1100.0,2018,保定 → 邯郸,节点坐标为城市点位或别名映射后的地级市点位
S032,抚顺-锦州-郑州成品油管道,邯郸,郑州,N132,N133,114.5356201,36.62685489,113.6193176,34.74752068,800.0,2018,邯郸 → 郑州,节点坐标为城市点位或别名映射后的地级市点位
S033,吉林石化-长春成品油管道,吉林,长春,N031,N143,126.549541,43.83796639,125.3184929,43.81369331,245.0,2014,吉林 → 长春,节点坐标为城市点位或别名映射后的地级市点位
S034,兰成渝成品油管道,兰州,成都,N018,N057,103.8314138,36.06163277,104.0385743,30.69284828,700.0,2002,兰州 → 成都,节点坐标为城市点位或别名映射后的地级市点位
S035,兰成渝成品油管道,成都,重庆,N057,N137,104.0385743,30.69284828,106.5467371,29.56659842,350.0,2002,成都 → 重庆,节点坐标为城市点位或别名映射后的地级市点位
S036,云南成品油管网（安保线）,安宁,大理,N044,N038,102.7432509,25.08100417,100.2621213,25.60771126,173.0,2017,安宁 → 大理,节点坐标为城市点位或别名映射后的地级市点位
S037,云南成品油管网（安保线）,大理,保山,N038,N013,100.2621213,25.60771126,99.15527561,25.1118833,57.0,2017,大理 → 保山,节点坐标为城市点位或别名映射后的地级市点位
S038,云南成品油管网（安蒙线）,安宁,玉溪,N044,N101,102.7432509,25.08100417,102.5258923,24.35033692,225.0,2017,安宁 → 玉溪,节点坐标为城市点位或别名映射后的地级市点位
S039,云南成品油管网（安蒙线）,玉溪,蒙自,N101,N121,102.5258923,24.35033692,103.3740373,23.36579148,115.0,2017,玉溪 → 蒙自,节点坐标为城市点位或别名映射后的地级市点位
S040,云南成品油管网（安曲线）,安宁,寻甸,N044,N047,102.7432509,25.08100417,102.7432509,25.08100417,323.0,2017,安宁 → 寻甸,节点坐标为城市点位或别名映射后的地级市点位
S041,云南成品油管网（安曲线）,寻甸,曲靖,N047,N066,102.7432509,25.08100417,103.7914451,25.49347973,155.0,2017,寻甸 → 曲靖,节点坐标为城市点位或别名映射后的地级市点位
S042,云南成品油管网（安曲线）,寻甸,昆明,N047,N063,102.7432509,25.08100417,102.7432509,25.08100417,168.0,2017,寻甸 → 昆明,节点坐标为城市点位或别名映射后的地级市点位
S043,钦南柳成品油管道,钦州,南宁,N138,N024,108.6506176,21.98377513,108.3621636,22.82027814,500.0,2018,钦州 → 南宁,节点坐标为城市点位或别名映射后的地级市点位
S044,钦南柳成品油管道,南宁,柳州,N024,N069,108.3621636,22.82027814,109.4257429,24.32828748,300.0,2018,南宁 → 柳州,节点坐标为城市点位或别名映射后的地级市点位
