alias,city_code,canonical_city_name,province_name,resolution_method,evidence_note,review_status
大理白族自治州,532900,大理白族自治州,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
大连市,210200,大连市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
天水市,620500,天水市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
天津市,120000,天津市,天津市,canonical,Exact canonical name from frozen 2024 city master.,approved
太原市,140100,太原市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
威海市,371000,威海市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
娄底市,431300,娄底市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
孝感市,420900,孝感市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
宁德市,350900,宁德市,福建省,canonical,Exact canonical name from frozen 2024 city master.,approved
宁波市,330200,宁波市,浙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
安庆市,340800,安庆市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
安康市,610900,安康市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
安阳市,410500,安阳市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
安顺市,520400,安顺市,贵州省,canonical,Exact canonical name from frozen 2024 city master.,approved
定西市,621100,定西市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
宜宾市,511500,宜宾市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
宜昌市,420500,宜昌市,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
宜春市,360900,宜春市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
宝鸡市,610300,宝鸡市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
宣城市,341800,宣城市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
宿州市,341300,宿州市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
宿迁市,321300,宿迁市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
山南市,540500,山南市,西藏自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
岳阳市,430600,岳阳市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
崇左市,451400,崇左市,广西壮族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
巴中市,511900,巴中市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
巴彦淖尔市,150800,巴彦淖尔市,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
巴音郭楞蒙古自治州,652800,巴音郭楞蒙古自治州,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
常州市,320400,常州市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
常德市,430700,常德市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
平凉市,620800,平凉市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
平顶山市,410400,平顶山市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
广元市,510800,广元市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
广安市,511600,广安市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
广州市,440100,广州市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
庆阳市,621000,庆阳市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
廊坊市,131000,廊坊市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
延安市,610600,延安市,陕西省,canonical,Exact canonical name from frozen 2024 city master.,approved
延边朝鲜族自治州,222400,延边朝鲜族自治州,吉林省,canonical,Exact canonical name from frozen 2024 city master.,approved
开封市,410200,开封市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
张家口市,130700,张家口市,河北省,canonical,Exact canonical name from frozen 2024 city master.,approved
张家界市,430800,张家界市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
张掖市,620700,张掖市,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
徐州市,320300,徐州市,江苏省,canonical,Exact canonical name from frozen 2024 city master.,approved
德宏傣族景颇族自治州,533100,德宏傣族景颇族自治州,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
德州市,371400,德州市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
德阳市,510600,德阳市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
忻州市,140900,忻州市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
怀化市,431200,怀化市,湖南省,canonical,Exact canonical name from frozen 2024 city master.,approved
怒江傈僳族自治州,533300,怒江傈僳族自治州,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
恩施土家族苗族自治州,422800,恩施土家族苗族自治州,湖北省,canonical,Exact canonical name from frozen 2024 city master.,approved
