city_code,city_name,province_code,province_name,admin_type,longitude,latitude,valid_from,valid_to,source_id
210600,丹东市,210000,辽宁省,prefecture_city,124.349339470081,39.998707901963,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210700,锦州市,210000,辽宁省,prefecture_city,121.120338028411,41.093214789197,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210800,营口市,210000,辽宁省,prefecture_city,122.229971234863,40.665292488153,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
210900,阜新市,210000,辽宁省,prefecture_city,121.664574800093,42.01973558028,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
211000,辽阳市,210000,辽宁省,prefecture_city,123.231053205172,41.266367542519,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
211100,盘锦市,210000,辽宁省,prefecture_city,122.065632218464,41.117437087917,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
211200,铁岭市,210000,辽宁省,prefecture_city,123.719932581001,42.221480972648,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
211300,朝阳市,210000,辽宁省,prefecture_city,120.445340668302,41.571475092802,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
211400,葫芦岛市,210000,辽宁省,prefecture_city,120.831589352286,40.710217181315,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220100,长春市,220000,吉林省,prefecture_city,125.317553833665,43.813712546544,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220200,吉林市,220000,吉林省,prefecture_city,126.543415314601,43.835361239285,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220300,四平市,220000,吉林省,prefecture_city,124.343860285881,43.16326319087,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220400,辽源市,220000,吉林省,prefecture_city,125.137395601976,42.885862332093,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220500,通化市,220000,吉林省,prefecture_city,125.934594075033,41.725292641505,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220600,白山市,220000,吉林省,prefecture_city,126.417302487597,41.931025878902,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220700,松原市,220000,吉林省,prefecture_city,124.818572896514,45.139744685492,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
220800,白城市,220000,吉林省,prefecture_city,122.833106284299,45.617913849634,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
222400,延边朝鲜族自治州,220000,吉林省,autonomous_prefecture,129.463772280821,42.90718305123,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230100,哈尔滨市,230000,黑龙江省,prefecture_city,126.529048472068,45.80087387624,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230200,齐齐哈尔市,230000,黑龙江省,prefecture_city,123.911679220913,47.351589493256,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230300,鸡西市,230000,黑龙江省,prefecture_city,130.961574582165,45.293124305641,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230400,鹤岗市,230000,黑龙江省,prefecture_city,130.29019652595,47.347398708848,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230500,双鸭山市,230000,黑龙江省,prefecture_city,131.150574792343,46.645283870527,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230600,大庆市,230000,黑龙江省,prefecture_city,125.094957032597,46.585879351949,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230700,伊春市,230000,黑龙江省,prefecture_city,128.833870354617,47.725382684233,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230800,佳木斯市,230000,黑龙江省,prefecture_city,130.313146023968,46.797267939735,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
230900,七台河市,230000,黑龙江省,prefecture_city,130.997244244821,45.768490191684,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
231000,牡丹江市,230000,黑龙江省,prefecture_city,129.626012901988,44.548123252091,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
231100,黑河市,230000,黑龙江省,prefecture_city,127.521680981908,50.243590497647,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
231200,绥化市,230000,黑龙江省,prefecture_city,126.962405031679,46.652520617059,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
232700,大兴安岭地区,230000,黑龙江省,prefecture,124.138970372258,50.412019120807,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
310000,上海市,310000,上海市,municipality,121.469507418243,31.231892370122,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320100,南京市,320000,江苏省,prefecture_city,118.790647282489,32.06100437959,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320200,无锡市,320000,江苏省,prefecture_city,120.307552373033,31.494510255812,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320300,徐州市,320000,江苏省,prefecture_city,117.278255895915,34.208179621828,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320400,常州市,320000,江苏省,prefecture_city,119.970348963324,31.811490735951,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320500,苏州市,320000,江苏省,prefecture_city,120.581721634938,31.299846640407,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320600,南通市,320000,江苏省,prefecture_city,120.890784980305,31.983062038912,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320700,连云港市,320000,江苏省,prefecture_city,119.216484661461,34.597546868537,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320800,淮安市,320000,江苏省,prefecture_city,119.009464701711,33.612068684709,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
320900,盐城市,320000,江苏省,prefecture_city,120.156183254542,33.350213941801,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
321000,扬州市,320000,江苏省,prefecture_city,119.407389982882,32.39664632446,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
321100,镇江市,320000,江苏省,prefecture_city,119.418500928686,32.190670557655,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
321200,泰州市,320000,江苏省,prefecture_city,119.918405948192,32.456547060032,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
321300,宿迁市,320000,江苏省,prefecture_city,118.269639829783,33.962872078865,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330100,杭州市,330000,浙江省,prefecture_city,120.204519694506,30.249213057273,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330200,宁波市,330000,浙江省,prefecture_city,121.618017704829,29.862523311425,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330300,温州市,330000,浙江省,prefecture_city,120.695875421668,27.998586890855,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330400,嘉兴市,330000,浙江省,prefecture_city,120.752651119182,30.747531935937,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330500,湖州市,330000,浙江省,prefecture_city,120.083227520049,30.894661715079,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330600,绍兴市,330000,浙江省,prefecture_city,120.574865510021,30.033088394037,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330700,金华市,330000,浙江省,prefecture_city,119.642280896867,29.081463264793,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330800,衢州市,330000,浙江省,prefecture_city,118.855214373746,28.972944756567,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
330900,舟山市,330000,浙江省,prefecture_city,122.202962395237,29.987016650903,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
331000,台州市,330000,浙江省,prefecture_city,121.416464227289,28.659225114518,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
331100,丽水市,330000,浙江省,prefecture_city,119.918732004146,28.470332806768,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340100,合肥市,340000,安徽省,prefecture_city,117.221394494564,31.822840878148,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340200,芜湖市,340000,安徽省,prefecture_city,118.427577594622,31.354311707119,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340300,蚌埠市,340000,安徽省,prefecture_city,117.383133311723,32.917351768421,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340400,淮南市,340000,安徽省,prefecture_city,116.994368694025,32.62825934344,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340500,马鞍山市,340000,安徽省,prefecture_city,118.501896554791,31.672254933811,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340600,淮北市,340000,安徽省,prefecture_city,116.792553357547,33.957357786044,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340700,铜陵市,340000,安徽省,prefecture_city,117.806697572453,30.947222295241,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
340800,安庆市,340000,安徽省,prefecture_city,117.051569779763,30.527605579171,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
341000,黄山市,340000,安徽省,prefecture_city,118.333797389079,29.718126452092,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
341100,滁州市,340000,安徽省,prefecture_city,118.327524980728,32.257073218772,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
341200,阜阳市,340000,安徽省,prefecture_city,115.808626998534,32.891756887603,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
341300,宿州市,340000,安徽省,prefecture_city,116.958596675776,33.64802678995,2024-01-01,2024-12-31,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU
